target_id,best_seed_id,q,pos_err_mm,rot_err_deg,pose_cost,limit_score,iters,near_limit
130,0,[ 5.19876139 -3.59320168 -0.91669757 -5.92348268 -6.28318531 -4.6023702 ],269.43842977060666,47.25154606461072,0.7527190019790307,0.007568999999999999,60,True
131,0,[-4.58016584 -4.0153001  -1.32893847  6.28318531 -0.41633479  0.28708052],35.12459460567442,4.129517438998403,0.0064283518937234135,0.007568999999999999,60,True
132,0,[-1.92625097 -0.6834206  -2.58403687  5.93318531  6.26299045 -3.28050714],60.00197180853201,2.5798243831252545,0.00562761598422515,0.004462927099657839,60,True
133,0,[ 2.90085583 -4.54500432 -3.08619459  1.46854642 -1.9892153  -6.0440447 ],116.10731170972655,9.656648989154982,0.04188674715326338,0.0009986825982984942,60,True
134,0,[ 5.41452957 -3.34175387  2.41801414 -5.75306338 -3.70076051 -2.07301967],0.09026410901029434,0.919295074297738,0.0002574413750140502,0.0,24,False
135,0,[-4.01485501  3.09479496  0.29467622 -4.73548941 -2.42833954  2.66491784],58.758333072880745,0.0009803060637518018,0.003452541998240925,0.0,60,False
136,0,[-3.3659516   6.26721589  1.47757427  3.8527509  -4.61841597 -3.51408065],7.016521698460915,0.09561219821423708,5.201629551077084e-05,0.005045343520466282,60,True
137,0,[-4.04113696 -0.42503144 -1.13193272  5.44127016  1.64836324 -2.79083985],0.23907178990034883,0.08654144782648794,2.338563784517492e-06,0.0,20,False
138,0,[-0.22709629  0.67457457 -1.97264243 -0.84341547  3.29524845 -1.26747886],0.29289035710804007,0.003552304774760183,8.962868866709943e-08,0.0,24,False
139,0,[-5.45971119 -5.20325434  0.69094835 -4.60290294  0.03309416 -3.04025947],589.6728006144024,3.448886603867225,0.35133738079804894,0.0,60,False
140,0,[-3.92749626  0.58066366 -1.51363543  2.85753018  5.07263668 -1.36413337],4.90995877330568,0.4347003891167968,8.166955173525841e-05,0.0,25,False
141,0,[ 0.3639552   2.47767987 -1.48149182 -0.9883628   6.28318531  2.67585447],69.75946359358119,57.010234903950476,0.9949238327813279,0.007568999999999999,60,True
142,0,[ 0.3562674  -3.67423473  1.36978544 -3.29159431 -0.82800556 -3.76121975],0.3028178016922741,0.14024630719288905,6.083226778377669e-06,0.0,38,False
143,0,[ 3.84889108 -3.17282927  2.69732744  0.02629142 -0.01811346  0.2438469 ],123.1792897340032,17.45487652437411,0.1079817535840329,0.0,60,False
144,0,[ 3.9093824   5.74684011  0.76020515 -6.14131943 -2.31433792  1.94128015],0.11457871987537649,0.5173470759740649,8.154337054603082e-05,0.0,10,False
145,0,[ 1.58418894  0.23376003  1.80678956 -1.02567929 -1.05640776  4.0114671 ],0.0036673704066193984,0.7406948214249518,0.00016712190855736267,0.0,11,False
146,0,[-2.7022528  -2.62492793 -1.18851441 -6.28318531  6.08524513  4.13017069],57.71071193030942,23.735436139763465,0.17494312496858258,0.007568999999999999,60,True
147,0,[-6.28318531 -6.21380121  2.6682172   4.64926474 -0.9831304   4.36895326],457.5525738829986,56.29303809022537,1.1746583689964067,0.007879320130704564,60,True
148,0,[-0.12019145  4.16182586 -1.43238049  2.27097492 -5.00738275 -1.19101462],0.9067894942385387,0.9066982402833537,0.00025124876551808006,0.0,17,False
149,0,[-5.62386928  0.24672959 -1.14312212 -6.1124499  -4.92051713  4.01195613],1.2012102768641215,0.0025245023785521294,1.4448474902564232e-06,0.0,54,False
150,0,[-5.11788194  2.5974775   2.29098639 -1.96865019  4.10338444 -6.08315561],3.22274957333619,0.8790501240726528,0.0002457728657334553,0.0,8,False
151,0,[ 3.18860809  2.8101087   0.94917124 -2.78677656 -2.02820172  3.93127865],0.06834291770979452,0.5969998282336644,0.00010857299824948765,0.0,18,False
152,0,[ 5.13779646  2.1153323  -2.52520911 -2.02660255 -3.83184405 -0.38032919],0.05420996806103505,0.5909878028520424,0.00010639562408833643,0.0,15,False
153,0,[ 4.9050031  -3.13964168  0.26949867 -3.90602922 -3.01183294 -5.43004278],2.097480385188601,0.019007791654152797,4.509481065283398e-06,0.0,11,False
154,0,[-6.28318531 -2.0056046  -2.20199461  5.0840222   5.29117671 -2.4293542 ],75.15557992214323,3.1232679263104957,0.008619843973551033,0.007568999999999999,60,True
155,0,[-6.28318531 -4.4077739  -0.22336223 -6.20185407 -6.28318531 -3.92533342],142.7237453108422,55.838771271086316,0.9701575494735524,0.015170134909008334,60,True
156,0,[ 0.30195349 -6.28318531  2.80115696 -5.0094451   0.64842946  4.44355553],8.713349247334138,0.4733317701902267,0.0001441698449255891,0.007568999999999999,60,True
157,0,[-4.20667754 -6.13210602  1.22844463  0.26409618  3.58266828  5.32520849],0.11270564122150788,0.9439579381486976,0.0002714440615848429,0.0,14,False
158,0,[ 3.55256013  3.80338978 -0.71675522  1.01555927 -2.58366941 -0.62893476],0.04228033278070342,0.096735579304127,2.852328080524354e-06,0.0,19,False
159,0,[-3.18134469  5.19952307  0.96022809 -3.81647057 -5.72268812  2.32771462],0.025725428892471643,0.9567751506801861,0.00027885314085294207,0.0,11,False
160,0,[-3.61840353  3.1607029   2.87349092  3.41975162 -5.34324011  3.4419769 ],1061.253239400486,28.243308223150812,1.3692470199607225,0.0,60,False
161,0,[ 1.50096891 -3.99267011  0.29605329 -0.49233131  4.88109137  0.56505458],92.27371662932289,0.02069234089918976,0.008514569209534499,0.0,60,False
162,0,[ 6.08006871 -0.60689579  2.33354082 -0.83304895  5.07234156  0.97805974],0.03527974566363069,0.10591911238712926,3.4187043497340214e-06,0.0,8,False
163,0,[ 1.90884479  2.27436672 -1.43688989 -0.68902711  4.51043016 -3.0430288 ],57.89451639435004,1.9980476139004753,0.0045678669455624194,0.0,60,False
164,0,[-2.34455107  0.49482217 -1.79228597  0.07199661  1.3533454   0.69780588],1.537167690646626,0.5075608832506352,8.083783025345259e-05,0.0,17,False
165,0,[-4.9255422   4.90828257 -3.02285999 -4.63325772  1.41615034 -2.60999679],72.0006260850369,7.779890568284412,0.02362157650250848,0.0,60,False
166,0,[-5.00493391  1.03558534 -1.35391329  3.57127929  5.69634649 -5.02053081],2.2292335240745724,0.29163803323281207,3.0878029049029205e-05,0.0,6,False
167,0,[-6.28318531 -5.00411141 -2.6950308   6.28318531  1.59070501  6.28318531],322.16153956252805,2.5746539207097054,0.10580731856668651,0.022706999999999998,60,True
168,0,[ 1.92768329 -0.10892662 -3.03089442  1.71649987 -5.43853782  2.35073571],4.723060359926634,0.24072095711660407,3.995883660339817e-05,0.0,45,False
169,0,[-4.32022579  0.26186839  1.68946633 -6.10149693 -0.95840406  6.22150856],4.819058541232063,0.07752649166775749,2.505418463783781e-05,0.000641267268180441,51,True
170,0,[ 6.12644058 -0.86690163 -2.77920517 -0.32096652  0.54348364 -5.63284587],0.16957539155269433,0.927621610666283,0.000262146517518137,0.0,17,False
171,0,[-1.4439433   3.31194684 -2.89434087 -6.28318531  6.1880763  -6.15372609],74.65364961320165,35.424882076947256,0.38784435137130036,0.007568999999999999,60,True
172,0,[ 2.65654422  4.78188609 -0.84554884  0.40856874 -2.28732074 -5.20333934],0.09571554881883229,0.36097366981077506,3.970141754352652e-05,0.0,9,False
173,0,[-2.80526601  0.9674894  -2.99835922 -0.29717763 -4.0106485   3.75738835],0.6755389015584994,0.014052973309896086,5.165105012091862e-07,0.0,35,False
174,0,[ 0.66954309  1.56104138 -2.51749487  2.83473282 -2.18100549  1.65243459],0.4213418466137238,0.656493953162077,0.00013146285759646012,0.0,5,False
175,0,[ 4.98979531  1.43693057  2.30127702 -1.1074339  -0.43634297  2.97094116],0.024389059505257594,0.4306951228800786,5.650660495747068e-05,0.0,19,False
176,0,[-1.38553109 -0.72989889  1.51904518  2.81217176 -3.67932197  4.26246929],0.7648054354378061,0.32499575280855336,3.275930137501631e-05,0.0,11,False
177,0,[ 0.67293834  1.64795414 -2.42916184 -3.6833234  -1.09086042  6.28318531],22.761059203800425,1.6828467932061197,0.0013807342245867658,0.007568999999999999,60,True
178,0,[ 4.43570483 -0.96268133  2.05697257  5.78792381  5.20951926 -3.10342699],0.016391985851330948,0.3209303324129674,3.1374729229217e-05,0.0,13,False
179,0,[-3.20709755 -0.52295875 -0.10291034  4.06942726  1.48456591  1.93020156],101.91401385782893,0.0050622955754883615,0.010386474026994556,0.0,60,False
180,0,[-1.6756717  -6.28318531 -2.21237724  1.433714    0.31542203 -2.19989552],514.5825330918863,25.27763540678991,0.45943318013584467,0.007568999999999999,60,True
181,0,[-6.28318531 -2.2406757   2.46795769 -6.25825275  3.63622561  3.90281329],69.47125729305458,12.171211826884738,0.04995179195737293,0.011421367848596825,60,True
182,0,[-2.51335553 -3.71917358  0.62224682  2.47149164  1.71523023  1.84589186],0.011146674293273057,0.6858567020955975,0.00014329198056139722,0.0,51,False
183,0,[-4.10800327  4.28450446  1.68633874 -3.73887083  3.97898867 -0.3917934 ],0.03735450598523202,0.563071226481617,9.65801064641383e-05,0.0,25,False
184,0,[ 0.21343423 -4.46153731 -2.89848806  4.74354399  1.51989874 -2.92338901],0.005334823335452141,0.9779108393875492,0.00029130859431231,0.0,58,False
185,0,[ 0.15701533  2.38738346  2.30312484 -2.8834045  -0.89157412  2.29548738],0.019306562522440177,0.4908312902848877,7.338738672968732e-05,0.0,7,False
186,0,[-0.18185531  4.58504896 -2.39297595  1.05920516  3.79630062 -3.39463179],0.3782882121522704,0.7882696803883272,0.0001894229506037958,0.0,14,False
187,0,[-0.45315981  2.44608308  0.34185572 -1.35359451 -0.76845716 -4.31341871],1.1378282980457108,0.0035591994485253886,1.2985120990633285e-06,0.0,34,False
188,0,[-0.75282934  3.64628973  3.03517422  2.90817739 -0.44818722  5.0099049 ],166.39425511977996,0.3149466875455248,0.027717263570072075,0.0,60,False
189,0,[ 2.36493768 -2.71600788  0.78779687  0.88861905 -4.29865142  3.3402042 ],4.383950001293951,0.15914525335745955,2.6934127481997943e-05,0.0,9,False
190,0,[-1.76398754 -2.72022455 -2.71211753  0.67936034  4.06882279  3.06266027],2.5524199383347805,0.6949176457603525,0.00015361780851504047,0.0,17,False
191,0,[-1.94680248  4.32986235 -2.55760915  3.7120017  -5.06543217 -0.30234511],0.07501069177574633,0.005784359514166186,1.5818741771784086e-08,0.0,32,False
192,0,[-1.86967722 -2.88201183 -0.86877349 -2.54981944 -5.58624728 -0.49959099],1.986401805490264,0.6166554398006345,0.00011978080976475205,0.0,30,False
193,0,[-0.52968967 -1.39737275  2.09785425 -3.09464308 -4.25984245 -2.52575097],0.04776300807247286,0.23749739539561665,1.7184230773113933e-05,0.0,20,False
194,0,[ 0.31213467  2.7398479  -1.39289493 -2.96301397 -4.11658815 -2.68406722],0.05352981194964487,0.48049510354218083,7.033157810674146e-05,0.0,13,False
