N,run_label,target_id,strict_success_by_curobo,strict_success_by_our_eval,q0,q1,q2,q3,q4,q5,curobo_reported_pos_err_mm,curobo_reported_rot_err_deg,our_reeval_pos_err_mm,our_reeval_rot_err_deg,abs_diff_pos_err_mm,abs_diff_rot_err_deg,target_x,target_y,target_z,target_qw,target_qx,target_qy,target_qz,near_limit,reason_flag
1000,curobo_threshold_N1000_K1,199,1,1,-1.9699422121047974,1.3941642045974731,-2.1661558151245117,0.100426584482193,-1.7248024940490723,-1.7427242994308472,1.4901161193847656e-05,1.7510656670321926e-05,5.322357340605634e-05,2.209938289076446e-05,3.8322412212208686e-05,4.588726220442534e-06,-0.06339313922630592,-0.5357458510374967,-0.22322677103061533,0.3471059799194336,-0.5850391387939453,0.6820213794708252,0.26850226521492004,0,consistent_success
1000,curobo_threshold_N1000_K1,200,1,1,-0.7164828777313232,-2.7436652183532715,1.7223440408706665,1.2487586736679077,1.1988766193389893,2.281090497970581,0.0003271528328241402,8.203997450235354e-06,0.0003267937087287686,4.353408482428142e-06,3.5912409537158015e-07,3.850588967807212e-06,-0.026966189082728118,0.2853084887749057,0.7204234324655121,-0.14283455908298492,0.6569851040840149,-0.41641750931739807,0.6120174527168274,0,consistent_success
1000,curobo_threshold_N1000_K1,201,1,1,1.2468714714050293,0.8851396441459656,-1.7998988628387451,-1.2180296182632446,1.3067554235458374,-0.49551287293434143,3.332000986233652e-05,1.7151983330671666e-06,6.4413785823283e-05,1.7075472925031877e-06,3.109377596094648e-05,7.651040563978895e-09,0.07229197237307991,0.8059825560831058,0.244078190692868,0.4128808081150055,-0.10245341807603836,-0.2847261130809784,0.8590481877326965,0,consistent_success
1000,curobo_threshold_N1000_K1,202,1,1,-2.908701181411743,-0.9357346892356873,0.08782574534416199,2.8880531787872314,1.0359139442443848,-1.4994933605194092,0.0003816559512870299,2.5684165577825146e-05,0.00039175536754762263,2.6809036291655143e-05,1.009941626059274e-05,1.1248707138299974e-06,-0.5376440140337462,-0.3443185015962324,1.0307359130327434,0.22007589042186737,0.939914345741272,0.01445603184401989,0.2606121301651001,0,consistent_success
1000,curobo_threshold_N1000_K1,203,1,1,-1.5412540435791016,1.024256706237793,-0.4930468201637268,-1.6552852392196655,-0.6226872205734253,-1.2737621068954468,0.00013328003944934608,5.672864606295277e-06,0.00014097134756054002,6.722620413208828e-06,7.691308111193939e-06,1.0497558069135518e-06,0.2650984778933881,-0.8851827180832001,-0.7839423859434653,0.47660669684410095,-0.44581684470176697,0.7511599659919739,-0.0992579236626625,0,consistent_success
1000,curobo_threshold_N1000_K1,204,1,1,1.8915660381317139,-0.5536996722221375,-1.5005942583084106,3.4368531703948975,-0.3333923816680908,-3.3834495544433594,0.027298552595311776,0.004842155556869428,0.027289367957996646,0.004841875831808013,9.184637315130112e-06,2.7972506141515224e-07,-0.2809137258755222,0.04913987109594344,0.9638002445277226,0.022499309852719307,-0.5334587097167969,-0.2338181883096695,0.8125544190406799,0,consistent_success
1000,curobo_threshold_N1000_K1,205,1,1,-0.14826084673404694,1.3761812448501587,-2.016141176223755,-0.10118169337511063,-0.2493206262588501,-1.5601011514663696,4.71216097253091e-05,5.554701452991543e-06,3.731045708068025e-05,9.115808030550376e-06,9.811152644628848e-06,3.5611065775588335e-06,0.6691454274998943,0.15615831458109852,-0.23210112873743904,0.5821912288665771,-0.7006571292877197,0.3039281964302063,0.27885591983795166,0,consistent_success
1000,curobo_threshold_N1000_K1,206,1,1,-0.34678906202316284,-0.6484271287918091,-1.7346972227096558,1.1413108110427856,-2.1946516036987305,-1.8706824779510498,6.0068501284149534e-05,3.969291938477546e-06,4.471083880713371e-05,4.00455336570039e-06,1.5357662477015826e-05,3.526142722284447e-08,0.18570393579147032,0.04993637596510739,0.7823414262115956,0.23754455149173737,0.9398171305656433,0.028223734349012375,-0.24396668374538422,0,consistent_success
1000,curobo_threshold_N1000_K1,207,1,1,0.09554006159305573,-2.4400064945220947,-0.4634242057800293,3.2510745525360107,1.1528353691101074,-1.552757740020752,8.56006536764653e-05,6.071553700281591e-06,9.571360980281698e-05,7.540324677666867e-06,1.0112956126351677e-05,1.4687709773852758e-06,-0.998520544877219,0.10659724910053331,0.5198326781367392,0.5511202812194824,-0.15005600452423096,0.7957145571708679,0.20146451890468597,0,consistent_success
1000,curobo_threshold_N1000_K1,208,1,1,0.22086244821548462,3.481462240219116,-2.3215441703796387,-2.709653377532959,-1.1011221408843994,1.0781198740005493,0.00018431718729061686,7.497892734067493e-06,0.00019235101621606823,1.1643920115677384e-05,8.033828925451374e-06,4.146027381609891e-06,-0.2738255987298895,0.1493100999189949,-0.27798347907873255,0.02137765660881996,-0.3373481333255768,0.9121158123016357,0.2319137006998062,0,consistent_success
