sample_id,kind,index,value
14,z,7,-0.51165892835864923
14,z,8,-2.0510342851533115e-10
14,z,9,0.85918865275961287
14,z,10,-0.51165892835864923
14,z,11,-2.0510342851533115e-10
14,z,12,-0.42768307334577371
14,z,13,-0.71817459426953367
14,z,14,-0.54891933917407609
14,z,15,0.88924959663992731
14,z,16,-0.22528372262328766
14,z,17,-0.39809847926953973
15,T,0,-0.40229266665591673
15,T,1,-0.39579121359669978
15,T,2,-0.82553614432956424
15,T,3,-0.07096025230756095
15,T,4,-0.91013283065614758
15,T,5,0.075298779987714129
15,T,6,0.40741664705089081
15,T,7,-0.17743862211856418
15,T,8,-0.099090064671992828
15,T,9,0.91524827722974322
15,T,10,-0.39051472457679087
15,T,11,-0.14103969866058652
15,T,12,0
15,T,13,0
15,T,14,0
15,T,15,1
15,p,0,0
15,p,1,0
15,p,2,0.1273
15,p,3,0
15,p,4,0
15,p,5,0.1273
15,p,6,-0.37848825805552755
15,p,7,-0.33730243051916681
15,p,8,0.47010856010309154
15,p,9,-0.059558758972291237
15,p,10,-0.27267353038063907
15,p,11,-0.028400237574943532
15,p,12,0.0051541801996248804
15,p,13,-0.21500243697665633
15,p,14,-0.10503424105460639
15,p,15,-0.07096025230756095
15,p,16,-0.17743862211856418
15,p,17,-0.14103969866058652
15,z,0,0
15,z,1,0
15,z,2,1
15,z,3,0.66532017923235998
15,z,4,-0.74655814181229085
15,z,5,-2.0510342851533113e-10
15,z,6,0.66532017923235998
15,z,7,-0.74655814181229085
15,z,8,-2.0510342851533113e-10
15,z,9,0.66532017923235998
15,z,10,-0.74655814181229085
15,z,11,-2.0510342851533113e-10
15,z,12,0.55931667391457329
15,z,13,0.49845370271376604
15,z,14,-0.66235093759432029
15,z,15,-0.82553614432956424
15,z,16,0.40741664705089081
15,z,17,-0.39051472457679087
16,T,0,-0.82127135914296923
16,T,1,0.25082814898445915
16,T,2,-0.51244374747721322
16,T,3,0.11794543307641145
16,T,4,-0.29528299064347524
16,T,5,0.58165948158923797
16,T,6,0.75794472286175618
16,T,7,-0.11116607541807755
16,T,8,0.48818163636919532
16,T,9,0.773794214991537
16,T,10,-0.40363498703349016
16,T,11,0.39837913301487959
16,T,12,0
16,T,13,0
16,T,14,0
16,T,15,1
16,p,0,0
16,p,1,0
16,p,2,0.1273
16,p,3,0
16,p,4,0
16,p,5,0.1273
16,p,6,0.6003993447174768
16,p,7,-0.059280804997991612
16,p,8,0.23001520345895471
16,p,9,0.09976082951266585
16,p,10,-0.17458811763495768
16,p,11,0.53079625709592049
16,p,12,0.1651927465938105
16,p,13,-0.18104857886593148
16,p,14,0.43559427881936741
16,p,15,0.11794543307641145
16,p,16,-0.11116607541807755
16,p,17,0.39837913301487959
16,z,0,0
16,z,1,0
16,z,2,1
16,z,3,-0.098257843043308868
16,z,4,-0.99516099013198689
16,z,5,-2.0510342851533115e-10
16,z,6,-0.098257843043308868
16,z,7,-0.99516099013198689
16,z,8,-2.0510342851533115e-10
16,z,9,-0.098257843043308868
16,z,10,-0.99516099013198689
16,z,11,-2.0510342851533115e-10
16,z,12,0.56553083043340246
16,z,13,-0.055838040025702619
16,z,14,-0.82283473013442621
16,z,15,-0.51244374747721322
16,z,16,0.75794472286175618
16,z,17,-0.40363498703349016
17,T,0,0.064340660463344107
17,T,1,-0.94303963024044979
17,T,2,0.32639934927492725
17,T,3,-0.54238891115043353
17,T,4,0.051886529969988701
17,T,5,-0.32347330197306745
17,T,6,-0.94481363819449282
17,T,7,-0.43196404572348224
17,T,8,0.99657817928088999
17,T,9,0.077725663114547025
17,T,10,0.028118568146152188
17,T,11,-0.80659984485872405
17,T,12,0
17,T,13,0
17,T,14,0
17,T,15,1
17,p,0,0
17,p,1,0
17,p,2,0.1273
17,p,3,0
17,p,4,0
17,p,5,0.1273
17,p,6,-0.32024919615715519
17,p,7,-0.097081216572969559
17,p,8,-0.38510578621772806
17,p,9,-0.50691885932042458
17,p,10,-0.32497695634036095
17,p,11,-0.90242764940483999
17,p,12,-0.57248293115358184
17,p,13,-0.34485222828195
17,p,14,-0.80919237684179934
17,p,15,-0.54238891115043353
17,p,16,-0.43196404572348224
17,p,17,-0.80659984485872405
17,z,0,0
17,z,1,0
17,z,2,1
17,z,3,0.29010593974712179
17,z,4,-0.95699453693500225
17,z,5,-2.0510342851533113e-10
17,z,6,0.29010593974712179
17,z,7,-0.95699453693500225
17,z,8,-2.0510342851533113e-10
17,z,9,0.29010593974712179
17,z,10,-0.95699453693500225
17,z,11,-2.0510342851533113e-10
17,z,12,-0.56667304955192088
17,z,13,-0.17178281712695836
17,z,14,0.80583640936076595
17,z,15,0.32639934927492731
17,z,16,-0.94481363819449293
17,z,17,0.028118568146152191
18,T,0,0.91445324628312308
18,T,1,-0.0078228460643924806
18,T,2,0.40461594560979725
18,T,3,0.64296650113966958
18,T,4,-0.11108702924061323
18,T,5,0.95655576528769948
18,T,6,0.26955656146597246
18,T,7,-0.097031524741168815
18,T,8,-0.38914641498638108
18,T,9,-0.29144445607064862
18,T,10,0.87385650808867388
18,T,11,-0.70647716092728063
18,T,12,0
18,T,13,0
18,T,14,0
18,T,15,1
18,p,0,0
18,p,1,0
18,p,2,0.1273
18,p,3,0
18,p,4,0
18,p,5,0.1273
18,p,6,0.29170328445567639
18,p,7,-0.14713766693110808
