target_id,target_x,target_y,target_z,target_radius_from_base,target_height_z,orientation_angle,cuda_success,curobo_success,cuda_pos_err,curobo_pos_err,is_curobo_only_fail,is_cuda_only_fail,is_both_fail,radius_bin,z_bin,orientation_angle_bin,curobo_failure_rate,cuda_failure_rate,mean_curobo_pos_err,mean_cuda_pos_err,bin_count
841,0.6784580124788373,0.24833632721438909,0.4296183863160376,0.7224792080821886,0.4296183863160376,132.1452533888915,1,1,0.065351137967,6.853160184287947e-05,0,0,0,2,3,4,,,,,
842,-0.5037125363373601,-0.21263176121395228,-0.7021593555629717,0.546752764181731,-0.7021593555629717,138.37020744741287,1,1,0.0512679064418,4.997742039248829e-05,0,0,0,1,-1,4,,,,,
843,0.4224604635928023,-0.08037071641910949,-0.8275422186453284,0.43003755110079206,-0.8275422186453284,179.2012797412696,1,1,0.243270049284,7.07371840154752e-05,0,0,0,1,-2,5,,,,,
844,0.15511914927758702,-0.23586174922368142,0.058143563720281,0.28229898196673875,0.058143563720281,122.42890179487426,1,1,0.1051885694,0.003916122795516408,0,0,0,0,1,4,,,,,
845,0.3248220822644021,-0.28658890757352945,0.08508880011122509,0.4331773159697666,0.08508880011122509,42.527844800083116,1,1,0.0276439553712,8.041942794254222e-05,0,0,0,1,1,1,,,,,
846,0.13102911827548366,-0.017023795626210512,0.10009115238507575,0.13213038807773808,0.10009115238507575,89.02012186206436,1,1,0.013063074763,0.0032589882346067476,0,0,0,0,2,2,,,,,
847,0.08244476286907798,0.4804636281722115,0.29341031438461096,0.48748583253356564,0.29341031438461096,170.8338535841524,1,1,0.159445687305,8.586714825167853e-05,0,0,0,1,2,5,,,,,
848,0.13336149186374113,0.7910782430230644,-0.3874047528257508,0.8022406584663864,-0.3874047528257508,100.03190215654311,1,1,0.0143429908377,7.819663352523636e-05,0,0,0,2,0,3,,,,,
849,0.16758578580923605,0.6960012717260451,0.998309002308106,0.7158929849143454,0.998309002308106,134.1955808824187,1,0,0.0598761683841,31.872054294962364,1,0,0,2,4,4,,,,,
850,0.032355290798963474,0.6818419456911607,1.0469591789390569,0.6826091881498471,1.0469591789390569,126.00195758559434,1,1,0.071346056468,1.4431862013150123,0,0,0,1,4,4,,,,,
851,-0.39125055067155673,-0.3817986497018727,-0.10354364479556871,0.5466691891034007,-0.10354364479556871,96.36702183387916,1,1,0.613456526213,6.069579769683871e-05,0,0,0,1,1,3,,,,,
852,-0.08574506595169998,-0.04416220547088369,0.7318967676652043,0.09644955534948789,0.7318967676652043,114.74772418418708,1,1,2.57521261494,0.17971159565215952,0,0,0,0,4,3,,,,,
853,0.18304305280973368,-0.17627854755236094,0.15093315515749095,0.2541237602214262,0.15093315515749095,120.08862363516074,1,1,0.0210311416929,9.436033335173524e-05,0,0,0,0,2,4,,,,,
854,0.13574170075482964,0.25273414712816844,1.2570365800579442,0.2868803904912575,1.2570365800579442,158.3153688474575,1,0,0.0727855130174,10.698720187775365,1,0,0,0,4,5,,,,,
855,-0.03537820198409584,0.9509745152514956,1.0253306102150603,0.9516323585468521,1.0253306102150603,129.08287335946508,1,1,2.85079182305,6.957535436449177e-05,0,0,0,2,4,4,,,,,
856,-0.22018661965626057,-0.49369379643376216,0.6861064886973803,0.5405698031825601,0.6861064886973803,152.2354999587937,1,1,0.108146497606,4.6277378675672854e-05,0,0,0,1,3,5,,,,,
857,0.2501920171060797,-0.17103691966903284,0.8839023875166442,0.30306711024702115,0.8839023875166442,122.41497645021072,1,1,0.122918889855,8.82526437037953e-05,0,0,0,0,4,4,,,,,
858,0.3396796855517139,-0.029949943725169764,-0.9811145304897195,0.3409974895884896,-0.9811145304897195,83.27728092936329,1,1,0.464448093505,0.00023865069886910804,0,0,0,0,-2,2,,,,,
859,0.10732337262231648,-0.10705918707236053,0.1796565404942512,0.1515914768304052,0.1796565404942512,115.45418568721588,1,0,4.89840638685,14.174574349182755,1,0,0,0,2,3,,,,,
860,0.044055848296916555,-0.25445414916545267,-0.3924534625208182,0.25823987259266407,-0.3924534625208182,144.42959870591505,1,1,0.0646372766594,0.00013033196920593583,0,0,0,0,0,4,,,,,
861,0.12930579413107873,-0.20921205087587394,-0.28509847917150133,0.24594647919325494,-0.28509847917150133,163.21527213748016,1,1,1.41135601635,8.07910467374079e-05,0,0,0,0,0,5,,,,,
862,0.009682141335896607,-0.885684678424252,0.1404807308237548,0.8857375985337412,0.1404807308237548,87.20687576286937,1,1,0.0269863299322,5.905930948316067e-05,0,0,0,2,2,2,,,,,
