rank,N,target_id,target_x,target_y,target_z,target_qw,target_qx,target_qy,target_qz,curobo_pos_err_mm,curobo_rot_err_deg,curobo_success,cuda_pos_err_mm,cuda_rot_err_deg,cuda_success,curobo_q0,curobo_q1,curobo_q2,curobo_q3,curobo_q4,curobo_q5,cuda_q0,cuda_q1,cuda_q2,cuda_q3,cuda_q4,cuda_q5,distance_to_workspace_center,near_joint_limit_by_curobo,near_joint_limit_by_cuda,jacobian_condition_estimate_if_available,reason_guess
34,1000,391,-0.14674076400346026,-1.1928856324393367,-0.38607903420993867,0.7159649133682251,0.34334155917167664,0.42654022574424744,-0.4330984652042389,129.51501289957412,10.63969203732222,0,2.30723923005,0.39813480795,1,-1.8921104669570923,0.5278652310371399,-0.007086887955665588,2.3082010746002197,-0.9863995909690857,1.9896739721298218,-1.7580108123101983,-5.8711642820329555,-0.051641023121351826,-1.0809023510127571,-3.5077190657272523,-4.4675657674627463,1.2623652421375497,0,0,,orientation_hard
35,1000,711,1.1232103336918933,-0.009986411868888299,-0.5244702355374761,0.16690674424171448,0.506676435470581,0.8435447812080383,-0.06207510083913803,123.66283171904985,4.049474860039683,0,117.101636262,0.0198417722819,0,-0.15054549276828766,0.3985689878463745,-0.010547878220677376,0.8429198861122131,1.8026052713394165,-0.681449294090271,6.1612769613232423,0.54599477346401748,0.19282177481624585,-2.6907490438045976,1.9870844457776027,5.2755065297901069,1.2396653621437541,0,0,,workspace_boundary
36,1000,275,0.750814543351942,0.9798848332556167,0.2991042921624767,0.705351710319519,0.3389701545238495,0.5627753138542175,-0.2661994397640228,117.29315721032741,14.068401117127854,0,0.0334247739571,0.743738985738,1,0.8467082977294922,-0.1606864035129547,-0.129567950963974,0.5922958850860596,3.1554524898529053,-0.9753105640411377,-5.5667984283462006,-6.1097820711209039,-0.47520492122458458,3.6075289060909226,5.8092082655638047,4.3923492861799067,1.2701811455627852,0,0,,orientation_hard
37,1000,2,0.5187393341179228,-0.9682638560328939,-0.49966644408145494,0.5493733882904053,0.1617097705602646,0.7761316895484924,0.2639288306236267,117.03310601169798,17.005855261172165,0,0.665409316519,0.162050089355,1,-1.319259762763977,0.4115052819252014,0.1513277292251587,0.6222220063209534,0.37613263726234436,-2.3694911003112793,5.1374038778863866,-5.9297458880322687,0.43173379514086607,4.161080012232552,-3.3278384077778251,-6.0512972767597715,1.2067692186171308,0,0,,orientation_hard
38,1000,179,-1.0355922820374097,-0.10442958777209072,0.9609941352033741,-0.47833701968193054,0.25820544362068176,0.6777147054672241,-0.4952034056186676,115.82452859888254,16.13069629967799,0,37.1450884888,0.000473755977238,0,3.026216506958008,-0.7348348498344421,-0.1276847869157791,0.605304479598999,1.0766481161117554,2.865777015686035,0.21265335411167205,3.6436392842671097,0.23479798258146523,-1.653252939048905,-2.1116644425680091,-5.3227578536784081,1.4166392064717748,0,0,,orientation_hard
39,1000,383,1.0342649218633102,-0.02692462764385334,-0.5005154295969411,-0.15740588307380676,0.3112417161464691,0.46939581632614136,0.8111840486526489,115.48769080179041,4.207092979103864,0,0.043515150847,0.0478155049182,1,-0.2990224063396454,0.5577858686447144,-0.003461098298430443,1.2728599309921265,-0.3130784332752228,-1.0765236616134644,3.2713963722170831,2.8148404787404373,-0.68314824023430243,-0.86513523023092542,4.6758531658477915,-1.4797525309145936,1.149323522527617,0,0,,workspace_boundary
40,1000,491,0.07416325599789914,0.40372463287380467,1.2573461536439097,-0.45089757442474365,-0.3198122978210449,-0.5183324217796326,0.6524897813796997,114.67281391356754,10.769766739518758,0,0.0422903674453,0.0467601911374,1,1.0543675422668457,-1.1913965940475464,0.06099671125411987,1.6486210823059082,-2.0835633277893066,-1.7449710369110107,-1.4294209736439254,-2.310566141905011,0.61753851070688248,6.1756941337146491,1.9440442923518095,0.69688659862590052,1.322653816314924,0,0,,orientation_hard
41,1000,442,0.48101858763540317,1.0731621570327845,0.6741206673557057,0.4352145195007324,-0.4777657687664032,0.6923294067382812,0.32094886898994446,114.52942335963132,9.606482754583935,0,0.586761740691,0.0363712655363,1,0.9754868149757385,-0.5446135401725769,-0.032275907695293427,0.8485968112945557,1.3307400941848755,-1.6404844522476196,4.3835627260076961,-2.5761835794882413,-0.35674509469400945,-1.5291898015466305,4.0697645669888693,2.8148538685635613,1.3555421686890154,0,0,,orientation_hard
42,1000,817,0.31279107711230403,0.06958636883173175,1.293346656179846,0.10139303654432297,0.7195558547973633,0.47408995032310486,-0.49718964099884033,114.31623490788112,12.779257572551922,0,0.117016081589,0.0461508904721,1,-0.18512289226055145,-1.3536096811294556,-0.09210006892681122,0.4082467555999756,-2.504188299179077,-2.6983773708343506,5.9027455954465688,-1.8322135646546407,0.83175313040125842,5.6912628748126615,1.3861943821006859,-0.97015815765484215,1.3324511599679179,0,0,,orientation_hard
43,1000,249,-0.44039748570494747,0.15640752207864494,1.2086262006476858,-0.017086388543248177,0.8359315991401672,-0.4351695477962494,-0.3339967727661133,112.83173534747858,5.934765510754096,0,0.780726769128,0.00754637693005,1,0.1949925720691681,-1.9217171669006348,-0.02572084218263626,0.9247241616249084,-1.035752296447754,-0.5478230714797974,0.050491178650049089,-2.3588903114535062,0.99561440439215287,2.9290482163846598,4.87003585897566,-5.185166514805176,1.2958358504340282,0,0,,orientation_hard
44,1000,425,-0.11319823629917751,-0.1142014500276177,-0.7528531256460969,-0.07457724958658218,0.21032412350177765,-0.25593867897987366,0.9405835270881653,111.73030178141772,53.406121816720535,0,0.24124364905,0.0390557216379,1,0.9689512848854065,0.7938990592956543,1.9249783754348755,-2.485034227371216,3.266947031021118,-3.905686855316162,2.4581614455217471,-5.4399963797806583,1.2162757656820731,-0.57166109488986294,4.6694037234044812,-0.71192918167300856,0.7698335149139407,0,0,,orientation_hard
45,1000,198,0.09118189668475747,-0.019340598724682988,0.060697699598820744,-0.47905412316322327,0.5708200931549072,0.3979061543941498,-0.5351095795631409,109.18522364658872,4.865586319257702,0,96.3984895008,1.3994769726,0,-1.9035195112228394,2.37174916267395,-3.0712451934814453,0.9277794361114502,-3.3294689655303955,-2.6546976566314697,-1.1523464224474889,0.3487116238541319,2.810079181245106,5.789642005760804,-1.5240109778731172,-3.8342306349000963,0.11123132552769333,1,0,,near_joint_limit
46,1000,805,-0.7736279085667312,-1.0848917801923421,0.14285770207209877,-0.07422173023223877,-0.41585370898246765,-0.23523873090744019,0.875339686870575,108.49096262437058,10.26231124120551,0,36.0536964057,0.0171859510481,0,-2.312859058380127,0.07103429734706879,0.06520992517471313,2.596907615661621,-1.7322784662246704,1.0270017385482788,-5.1433143497561087,-3.0827290462288444,-0.21772496288281684,-1.057962321967246,5.9080411333446916,-0.2326692979041535,1.3401114277117274,0,0,,orientation_hard
47,1000,382,-0.21203835284005457,-0.04995089552495636,0.07485019506053407,0.04290589317679405,0.8780223727226257,-0.3122631013393402,-0.3601771295070648,108.47675900601236,4.933073006763832,0,0.0956105037561,0.0630362699807,1,2.123591899871826,1.3101924657821655,-2.999114751815796,2.656186103820801,1.1380058526992798,-1.7796540260314941,1.0527447425182752,-3.201882874867116,-2.8542517253841,-4.7390233011658864,-1.6185601221298804,0.24614956681951361,0.23034301973246027,0,0,,seed_failure
48,1000,260,-0.02853005666554457,-1.2357724685940705,0.3275244662501713,-0.36989626288414,-0.4987906217575073,0.45340636372566223,0.6393803954124451,104.86383447091873,5.6257115751101425,0,1.51357197063,0.167953210186,1,-1.6596702337265015,-0.22576086223125458,-0.02106386050581932,0.3058242201805115,-3.051046848297119,-0.2185550481081009,-4.6276795437469982,-3.2057955776809544,0.24741356611475099,5.0686405535511598,-1.9132958854937616,0.46058132486856995,1.2787571443635737,0,0,,orientation_hard
49,1000,101,0.29647615618149903,-1.2276933791346127,0.3742998372806039,0.11234797537326813,0.4870588183403015,-0.07861524820327759,0.862537682056427,104.49994098787317,11.363263437704878,0,0.486865346329,0.0478288389678,1,-1.5301392078399658,-0.13403819501399994,0.044194240123033524,2.4365622997283936,-0.695512056350708,-0.7080470323562622,4.8272370811006526,5.987579853198258,0.37029836374366926,4.4534492650169444,-4.6024651444929949,5.973073971131158,1.317281106121016,0,0,,orientation_hard
50,1000,922,-0.10064412200312461,0.4113815746213575,1.2283219900467581,0.5902780294418335,0.03857821971178055,-0.7657298445701599,0.2524704039096832,104.28280190444278,2.3692794121681184,0,0.211776456924,0.154209562985,1,1.2015111446380615,-1.2626709938049316,-0.012653149664402008,1.0269999504089355,-0.7973730564117432,2.091609001159668,5.3367863093668273,-2.4323018592012442,0.86384728838863445,-1.747812636171691,-1.6261648209884447,1.9132273731738021,1.2992840145496116,0,0,,seed_failure
