trajectory_type,trajectory_id,step,method,delta_q_norm,is_jump
random_local_50,7,15,no-rerank,4.7442671648928965,1
random_local_50,7,16,no-rerank,3.981153255539588,1
random_local_50,7,17,no-rerank,4.734771899433357,1
random_local_50,7,18,no-rerank,4.284903231607939,1
random_local_50,7,19,no-rerank,3.9448535002469898,1
random_local_50,7,20,no-rerank,4.827155391637808,1
random_local_50,7,21,no-rerank,4.416530940276002,1
random_local_50,7,22,no-rerank,1.3975870936759192,1
random_local_50,7,23,no-rerank,0.2703279615871501,0
random_local_50,7,24,no-rerank,4.626112741774699,1
random_local_50,7,25,no-rerank,4.7247620212268995,1
random_local_50,7,26,no-rerank,4.916285872819503,1
random_local_50,7,27,no-rerank,4.143587744029775,1
random_local_50,7,28,no-rerank,1.7003130598696565,1
random_local_50,7,29,no-rerank,4.2998407347836665,1
random_local_50,7,30,no-rerank,4.323524919279866,1
random_local_50,7,31,no-rerank,4.4459610052680265,1
random_local_50,7,32,no-rerank,4.515887443372676,1
random_local_50,7,33,no-rerank,1.7717903925626777,1
random_local_50,7,34,no-rerank,4.484294978741966,1
random_local_50,7,35,no-rerank,5.241412979812152,1
random_local_50,7,36,no-rerank,0.6976440311191002,1
random_local_50,7,37,no-rerank,4.883670246491288,1
random_local_50,7,38,no-rerank,5.163447297923293,1
random_local_50,7,39,no-rerank,1.5109267671199134,1
random_local_50,7,40,no-rerank,0.9317068036215732,1
random_local_50,7,41,no-rerank,4.234974032755085,1
random_local_50,7,42,no-rerank,0.18479944202941825,0
random_local_50,7,43,no-rerank,4.450101048499531,1
random_local_50,7,44,no-rerank,0.7302528627728303,1
random_local_50,7,45,no-rerank,0.6418170212089875,1
random_local_50,7,46,no-rerank,1.7645772759143517,1
random_local_50,7,47,no-rerank,5.245993313249359,1
random_local_50,7,48,no-rerank,5.454973422561751,1
random_local_50,7,49,no-rerank,2.412553404460657,1
random_local_50,8,1,no-rerank,0.9139990104956678,1
random_local_50,8,2,no-rerank,0.7926898938891004,1
random_local_50,8,3,no-rerank,5.2290367821603505,1
random_local_50,8,4,no-rerank,0.5819755004373944,1
random_local_50,8,5,no-rerank,1.8117149199538551,1
random_local_50,8,6,no-rerank,4.947083179836065,1
random_local_50,8,7,no-rerank,0.534454099668787,1
random_local_50,8,8,no-rerank,1.5654759159565832,1
random_local_50,8,9,no-rerank,5.26486298336108,1
random_local_50,8,10,no-rerank,5.120946057520169,1
random_local_50,8,11,no-rerank,1.5099137917804186,1
random_local_50,8,12,no-rerank,0.47642576402301345,0
random_local_50,8,13,no-rerank,5.23091263243315,1
random_local_50,8,14,no-rerank,5.135546181906611,1
random_local_50,8,15,no-rerank,0.6833452906543593,1
random_local_50,8,16,no-rerank,5.314285171362751,1
random_local_50,8,17,no-rerank,1.561406141245791,1
random_local_50,8,18,no-rerank,0.35325258185109126,0
random_local_50,8,19,no-rerank,5.097054031757032,1
random_local_50,8,20,no-rerank,5.252625846822244,1
random_local_50,8,21,no-rerank,5.122011645418671,1
random_local_50,8,22,no-rerank,1.5655505354288624,1
random_local_50,8,23,no-rerank,0.8580527354217049,1
random_local_50,8,24,no-rerank,1.473772215789124,1
random_local_50,8,25,no-rerank,1.712135218134424,1
random_local_50,8,26,no-rerank,1.8292549801950413,1
random_local_50,8,27,no-rerank,5.203991641949811,1
random_local_50,8,28,no-rerank,5.301202191316137,1
random_local_50,8,29,no-rerank,0.8269252216021105,1
random_local_50,8,30,no-rerank,5.054523097465772,1
random_local_50,8,31,no-rerank,1.3004112813343296,1
random_local_50,8,32,no-rerank,5.124366260429276,1
random_local_50,8,33,no-rerank,0.5406070613579662,1
random_local_50,8,34,no-rerank,5.253066387152855,1
random_local_50,8,35,no-rerank,0.5138268695202901,1
random_local_50,8,36,no-rerank,1.527840290029601,1
random_local_50,8,37,no-rerank,5.128911658730052,1
random_local_50,8,38,no-rerank,0.8391745923429383,1
random_local_50,8,39,no-rerank,5.050559360513905,1
random_local_50,8,40,no-rerank,5.004411748887696,1
random_local_50,8,41,no-rerank,4.848201617926866,1
random_local_50,8,42,no-rerank,5.030218659586168,1
random_local_50,8,43,no-rerank,0.17649986727364167,0
