target_id,sorted_target_rank,seed_id,rank,pos_err_mm,rot_err_deg,pose_cost,total_loss,success_loose,success_medium,success_strict
447,69,10,3,0.0199461696152,0.0710037881358,1.5361381255626915e-06,7.680690627813459e-07,1,1,1
447,69,11,3,0.00516106130304,0.495672835722,7.484195572921275e-05,3.742097786460638e-05,1,1,1
447,69,12,3,0.0468066347737,0.0947837273681,2.738860044654898e-06,1.369430022327449e-06,1,1,1
447,69,13,3,0.159024427023,5.83013659967e-05,2.5289803799634602e-08,1.2644901899817301e-08,1,1,1
447,69,14,3,0.140510520441,0.154786413091,7.318021302341655e-06,3.6590106511708265e-06,1,1,1
447,69,15,3,0.712595573596,0.0136517259426,5.645638846484321e-07,2.822819423242161e-07,1,1,1
118,70,0,3,0.0443303362581,0.618968388349,0.0001167075593951,5.835377969758967e-05,1,1,1
118,70,1,3,0.142069262585,0.426824602882,5.551515419795952e-05,2.775757709897976e-05,1,1,1
118,70,2,3,1.67859759152,0.306044747272,3.1349189251982386e-05,1.5674594625991193e-05,1,1,1
118,70,3,0,13.9129488699,49.3439151835,0.7418827549571269,0.3709413774785634,0,0,0
118,70,4,0,127.641580831,45.7792298678,0.6546906409316258,0.3275723904658129,0,0,0
118,70,5,3,0.0693874165422,0.0123612791747,5.136052781482526e-08,2.568026390741263e-08,1,1,1
118,70,6,0,70.5370853363,0.0282171406991,0.0049757229462773,0.0025516088851423,0,0,0
118,70,7,0,173.667191421,18.4907504395,0.1343113810012334,0.0673827605006167,0,0,0
118,70,8,1,14.3538322945,0.0231150384916,0.0002061952601494,0.0002960850178048,1,0,0
118,70,9,0,896.525863925,37.3365207561,1.2284001153932047,0.6146993945300292,0,0,0
118,70,10,3,1.04914266448,0.0028941007947,1.103251750919115e-06,5.516258754595575e-07,1,1,1
118,70,11,3,1.05026384101,0.0427918838316,1.660852898939343e-06,8.304264494696716e-07,1,1,1
118,70,12,3,2.10055588098,0.189052010237,1.52995634240881e-05,7.64978171204405e-06,1,1,1
118,70,13,3,1.06047289988,0.0457391567147,1.7618838759930024e-06,8.809419379965012e-07,1,1,1
118,70,14,2,7.11587753394,0.256490181656,7.067564424416206e-05,0.0001001956021092,1,1,0
118,70,15,3,0.0128805112449,0.608964393417,0.0001129637686641,5.6481884332072e-05,1,1,1
201,71,0,0,3.22710062488,37.4644955072,0.4275678982198138,0.2140110191099069,0,0,0
201,71,1,0,32.4007707574,0.724452652398,0.0012096828073667,0.0006048414036833,0,0,0
201,71,2,3,0.293373852923,0.970147709026,0.0002867878949413,0.0001433939474706,1,1,1
201,71,3,3,2.92962279648,0.00149720615872,8.583372568052688e-06,4.291686284026344e-06,1,1,1
201,71,4,0,90.4645903457,39.8200336328,0.4911959084466775,0.2458250242233387,0,0,0
201,71,5,0,32.6834054232,0.000186215471964,0.0010682050006214,0.0005341025003107,0,0,0
201,71,6,3,1.80256736973,0.244925592948,2.152280524628824e-05,0.0001355515558868,1,1,1
201,71,7,0,30.1767399769,0.000259268291663,0.0009106356561094,0.0004553178280547,0,0,0
201,71,8,3,0.905494686201,0.153953637985,8.039878224530078e-06,4.019939112265039e-06,1,1,1
201,71,9,3,0.470898117653,0.00048541245006,2.218168127638331e-07,1.1090840638191653e-07,1,1,1
201,71,10,3,0.472856466916,0.559293209629,9.551063151767665e-05,4.775531575883832e-05,1,1,1
201,71,11,3,0.0545639466583,0.146901286803,6.5766175074312295e-06,3.2883087537156147e-06,1,1,1
201,71,12,3,4.87529746897,0.0710603504566,2.530671343324226e-05,5.042735227795483e-05,1,1,1
201,71,13,1,26.2675143984,5.23302087558e-05,0.0006899823135067,0.0003449911567533,1,0,0
201,71,14,0,439.16988509,0.414213557716,0.1929224520556586,0.0969153660278293,0,0,0
201,71,15,3,4.80317158802,0.0752632999998,2.479598227340883e-05,4.44826822904086e-05,1,1,1
691,72,0,0,64.7794666925,0.000526979731963,0.0041963793895642,0.0023167218000905,0,0,0
691,72,1,3,2.01849575184,0.241405191052,2.1826351888747823e-05,1.0913175944373912e-05,1,1,1
691,72,2,0,81.4909499592,0.00159839785922,0.0066407757035176,0.0033203878517588,0,0,0
691,72,3,3,0.0439364681359,0.510901802661,7.951336792510605e-05,3.9756683962553034e-05,1,1,1
691,72,4,3,0.0705469580857,0.736777729126,0.0001653639302377,8.268196511889721e-05,1,1,1
691,72,5,0,106.989604185,0.0675962998681,0.0114481672797655,0.0057240836398827,0,0,0
691,72,6,0,75.9535251361,0.011759625986,0.0057689801057722,0.0028844900528861,0,0,0
691,72,7,0,512.11770337,13.0775144442,0.3143606348393293,0.1576344574196646,0,0,0
691,72,8,3,2.9356986702,0.00912095444835,8.643668356711647e-06,4.321834178355823e-06,1,1,1
691,72,9,0,445.221425216,0.00945912708033,0.1982221447272509,0.0995652123636254,0,0,0
691,72,10,3,0.819890158062,0.00017094511184,6.722287728876872e-07,3.361143864438436e-07,1,1,1
691,72,11,3,3.33676259194,0.0824761730021,1.3206089491744128e-05,6.603044745872065e-06,1,1,1
691,72,12,2,8.70673902805,0.012015204688,7.58512806400796e-05,0.0001314374282278,1,1,0
691,72,13,3,4.00655963466,0.49739022138,9.14139657555312e-05,4.5706982877765605e-05,1,1,1
691,72,14,3,0.0480425657612,0.636501090928,0.0001234130717938,6.170653589694026e-05,1,1,1
691,72,15,3,0.0560419857169,0.515330632891,8.08990672015322e-05,4.04495336007661e-05,1,1,1
217,73,0,1,19.4804689909,0.00105436874391,0.0003794890107455,0.0001897445053727,1,0,0
217,73,1,0,31.4580326962,0.000421384203845,0.0009896078752036,0.0004948039376018,0,0,0
217,73,2,0,32.4874550118,0.000397808643184,0.0010554347813517,0.0005277173906758,0,0,0
217,73,3,3,1.95742615194,0.00824567185255,3.852228415075552e-06,1.926114207537776e-06,1,1,1
217,73,4,3,2.21370398576,0.00809547935648,4.920448983237986e-06,2.460224491618993e-06,1,1,1
217,73,5,3,0.448473665309,0.107030847101,3.690704622235593e-06,1.8453523111177963e-06,1,1,1
217,73,6,3,3.79599385279,0.0171039193475,1.4498683346247698e-05,7.249341673123849e-06,1,1,1
217,73,7,0,1004.47856659,54.189351322,1.903481917361036,0.9526491547543934,0,0,0
217,73,8,3,4.62989478652,0.0659963884399,2.2762693999758628e-05,2.2614257415717903e-05,1,1,1
217,73,9,3,4.23492133723,0.110454693817,2.1650964175165724e-05,3.230551821183792e-05,1,1,1
217,73,10,3,3.96032521775,0.514718799576,9.638812677642394e-05,4.819406338821197e-05,1,1,1
217,73,11,0,69.2258036888,34.6851257651,0.37126462027875,0.185859380139375,0,0,0
217,73,12,0,956.463889455,54.8856397253,1.8324628760578583,0.9166520973949848,0,0,0
217,73,13,3,0.140279965124,0.559778172848,9.547203519878118e-05,4.773601759939059e-05,1,1,1
217,73,14,1,11.9664571823,0.199482186498,0.0001553177819598,0.0001677258036185,1,0,0
217,73,15,3,0.0292171408918,0.738235495857,0.0001660148030601,8.30074015300979e-05,1,1,1
27,74,0,2,9.43414931498,0.100145717095,9.205823155644568e-05,0.0002730991157782,1,1,0
27,74,1,3,1.50646859533,0.151583205711,9.268784721349309e-06,4.6343923606746536e-06,1,1,1
27,74,2,2,9.91201862478,0.138927077268,0.0001041274526429,0.0002791337263214,1,1,0
27,74,3,3,2.12953618506,0.12092763481,8.989495026985755e-06,4.494747513492878e-06,1,1,1
27,74,4,3,1.28107488695,0.551752413957,9.437605521755697e-05,4.718802760877848e-05,1,1,1
27,74,5,3,0.459510831517,0.433140732683,5.7360696752598223e-05,2.8680348376299112e-05,1,1,1
27,74,6,3,0.0237738684486,0.388452184971,4.596584121991819e-05,2.2982920609959096e-05,1,1,1
27,74,7,3,4.86630345743,0.0764253139613,2.54601274816163e-05,2.928045235799356e-05,1,1,1
27,74,8,0,873.695351572,39.8160164416,1.2462581825528356,0.6231290912764178,0,0,0
27,74,9,3,4.65662592302,0.0138372243069,2.174248971162562e-05,3.371456841991222e-05,1,1,1
27,74,10,3,0.0608869249546,0.910741664531,0.0002526687416657,0.0001263343708328,1,1,1
27,74,11,0,103.627756057,27.0998168924,0.2344497679459519,0.117752133477487,0,0,0
27,74,12,3,0.0270908173345,0.000359806960674,7.73348474547005e-10,3.866742372735025e-10,1,1,1
27,74,13,3,0.0804638481214,0.436765086642,5.81164329755686e-05,2.9058216487784295e-05,1,1,1
27,74,14,0,925.867120242,48.9662684706,1.5876097251287593,0.7942590025643796,0,0,0
27,74,15,0,13.044385229,26.8467385088,0.2197223597150206,0.1100882498575103,0,0,0
148,75,0,3,0.0426230818865,0.618118344171,0.0001163870818524,5.8193540926209935e-05,1,1,1
148,75,1,3,0.93799287096,0.122005103814,5.414135659433055e-06,4.009380271687664e-05,1,1,1
148,75,2,0,198.907119701,7.28490544737,0.0557300422440877,0.0283191611220438,0,0,0
148,75,3,2,9.15720221514,0.0182746625076,8.395608344467097e-05,0.0001521113527107,1,1,0
148,75,4,3,0.00137577292358,0.765314670269,0.0001784164182394,8.920820911972104e-05,1,1,1
148,75,5,3,2.40651730875,0.522276900652,8.888278203424804e-05,4.91724229966435e-05,1,1,1
148,75,6,2,9.7370436429,0.211907733203,0.0001084888298367,0.0002120605979246,1,1,0
148,75,7,3,0.139545680439,0.402336798319,4.932938714430438e-05,2.466469357215219e-05,1,1,1
148,75,8,1,10.8725949503,0.00744661794688,0.0001182302126355,0.000254024454024,1,0,0
148,75,9,0,831.057756771,3.38657299974,0.6941506147113785,0.3472125881585509,0,0,0
