target_id,best_seed_id,pos_err_mm,rot_err_deg,pose_cost,limit_score,total_loss,iters,success_loose,success_medium,success_strict,near_limit,q0,q1,q2,q3,q4,q5
41,5,0.05438904554085016,0.06824624091634675,1.4217288487919516e-06,0.0,7.108644243959758e-07,12,1,1,1,0,1.1102566342247624,-0.0511644484994948,2.3056711579123905,-0.26643134695674336,5.874273364919316,1.3912234726513228
42,15,0.1174416960782048,0.008121752891156181,3.38859912464681e-08,0.0,1.694299562323405e-08,21,1,1,1,0,1.2288517673463377,-4.524365722163418,-1.7360478312068952,-2.397646229353753,-4.444038564063646,-1.3954820588979178
43,10,0.46196283577755576,0.03367645818251941,5.588774458465655e-07,0.0,2.7943872292328274e-07,25,1,1,1,0,0.9714731462820121,0.8855967049424875,1.3825989211786764,5.81549069360102,-1.3794002990193555,-5.340635925217567
44,11,0.45055431830348086,0.33283405881500816,3.394806329320548e-05,0.0,1.697403164660274e-05,15,1,1,1,0,1.3941149561907866,1.693708866288571,0.8245276085319119,3.1403949857279,5.378261220538569,-3.447137292481502
45,9,0.025079491761182918,0.03525864551262655,3.7932085329862333e-07,0.0,1.8966042664931166e-07,16,1,1,1,0,-2.148800590875169,1.6177152216505928,1.9453639038904034,-5.330162718010476,-4.5077809712536085,-5.599081201775916
46,7,0.5316563141193447,0.0007704930818236737,2.8283927539524217e-07,0.0,1.4141963769762109e-07,38,1,1,1,0,0.1990662335471909,4.463741011684765,-0.47021141088011936,-1.4584872039925991,5.897349723688373,-4.831704900289771
47,9,2.008264631112084,0.08664401518660063,6.319946265131623e-06,0.0,3.1599731325658114e-06,6,1,1,1,0,4.667264632321806,-3.1179978760926903,1.220130957892639,3.617039844995171,-2.512615081199019,-1.9114881677571178
48,10,0.3024653353655635,0.04136021656979718,6.125844035388181e-07,0.0,3.0629220176940906e-07,26,1,1,1,0,-5.384761910161125,2.169598580875174,-1.7324373110615348,2.7016900490773565,5.761228815100567,5.267739174491028
49,11,0.1399752684007573,0.005450146236436522,2.8641460234802125e-08,0.0,1.4320730117401062e-08,41,1,1,1,0,-2.54378512732763,-3.2957335361775515,-2.267988933956211,-4.560401056804905,-1.5889639445809307,4.2588668366890765
50,2,3.1516915557574485,0.3949033287690416,5.7437831716259075e-05,0.0,2.8718915858129538e-05,52,1,1,1,0,-1.6629910135885297,0.3761562027671892,-2.710726411112947,4.186926201898893,5.088581921693792,3.502136790762587
51,12,0.23475062976438993,0.0014756194229890221,5.57711481923246e-08,0.0,2.78855740961623e-08,25,1,1,1,0,-0.7758732235804897,2.021586533368016,0.6307467168596862,-3.347526063237959,1.486895991787734,5.280295472304189
52,0,15.226355963150521,0.06668855954766445,0.0002331966604553469,3.730881558021713e-07,0.00011660952287234752,60,1,0,0,1,0.7749670901087089,5.045640348602714,-3.0552034630165394,-2.3649472588352975,2.2616184283420715,4.183185206445512
