method,graph,N,timing_type,time_ms_mean,time_ms_std,time_ms_min,time_ms_max,time_ms_p50,time_ms_p95,h2d_time_ms,d2h_time_ms_mean,e2e_time_ms,raw_targets_per_s,valid_targets_per_s,success_rate,success_rate_loose,success_rate_strict,avg_pos_error_m,pos_error_p50_m,pos_error_p95_m,avg_rot_error_rad,rot_error_p50_rad,rot_error_p95_rad,avg_iterations
cuRobo,Off,1000,gpu_stream,32.19574076334636,3.9519362982350694,,,31.109724499401636,38.86574065036255,,,32.2273246665039,31060.009066120398,31060.009066120398,1.0,1.0,1.0,1.2564815432323472e-07,8.732620631086008e-08,3.5418684174802957e-07,1.2519040038428894e-07,1.1920928955078133e-07,2.2500259981366294e-07,
cuRobo,On,1000,gpu_stream,2.9923221429189044,0.2405564777268072,,,2.9134724973118864,3.4455677014193498,,,3.0148970659259553,334188.61748104944,334188.61748104944,1.0,1.0,1.0,1.2564815432323472e-07,8.732620631086008e-08,3.5418684174802957e-07,1.2519040038428894e-07,1.1920928955078133e-07,2.2500259981366294e-07,
CUDA-Mixed,N/A,4000,kernel,25.439492,1.110116,24.75248,29.078497,24.890063,28.135203,0.206965,25.501418,51.147875,157235.843173,157235.843173,1.0,1.0,0.60725,0.004264314071,0.004037647674,0.009180643407,0.003130424598,0.001997946286,0.009516268278,16.591
CUDA-Mixed-Graph,On,4000,kernel,24.996175,0.264159,24.713217,25.7024,24.89088,25.502004,0.166145,0.075582,25.237902,160024.485762,160024.485762,1.0,1.0,0.60725,0.004264314071,0.004037647674,0.009180643407,0.003130424598,0.001997946286,0.009516268278,16.591
cuRobo,Off,4000,gpu_stream,246.39642893473308,21.138783521945587,,,240.59193400171353,286.306854450595,,,246.42173863370166,16234.001512495717,16229.943012117594,0.99975,0.99975,0.99975,9.722327314125581e-06,7.201118991538671e-08,2.0809775868854603e-07,8.633648468971486e-05,1.2990531157078375e-07,3.424350097800306e-07,
cuRobo,On,4000,gpu_stream,27.50323422749837,0.8445158618374503,,,27.536600500752684,28.628557597767212,,,27.54035830075736,145437.44080835072,145401.08144814864,0.99975,1.0,0.99975,4.6188463039985185e-06,7.206297070753324e-08,2.0693374025882122e-07,1.0878154673352564e-05,1.2990531157078375e-07,3.4308282558005637e-07,
CUDA-Mixed,N/A,5000,kernel,31.749829,0.501466,31.346687,33.145344,31.4776,32.765645,0.167502,31.825697,63.743028,157481.161046,157386.67235,0.9994,0.9994,0.6076,0.004397973631,0.004088158573,0.00912126595,0.003222428357,0.002110332377,0.009508083075,16.64
CUDA-Mixed-Graph,On,5000,kernel,31.677519,0.430744,31.301632,32.789505,31.468032,32.53847,0.167777,0.086961,31.932257,157840.64448,157745.940093,0.9994,0.9994,0.6076,0.004397973631,0.004088158573,0.00912126595,0.003222428357,0.002110332377,0.009508083075,16.64
cuRobo,Off,5000,gpu_stream,34.55906359354655,1.5145832179358056,,,34.35215300123673,36.930895001933095,,,34.59269420030372,144679.84603997445,144679.84603997445,1.0,1.0,1.0,1.177906050881769e-07,8.638790764178483e-08,3.3408565379249525e-07,1.2177778813698393e-07,1.1733186057227575e-07,2.1696418193818725e-07,
cuRobo,On,5000,gpu_stream,4.73408211072286,0.2871448791354811,,,4.638664500816958,5.236423652240773,,,4.758005033363588,1056170.9499450435,1056170.9499450435,1.0,1.0,1.0,1.177906050881769e-07,8.638790764178483e-08,3.3408565379249525e-07,1.2177778813698393e-07,1.1733186057227575e-07,2.1696418193818725e-07,
CUDA-Mixed,N/A,10000,kernel,63.510541,0.595772,62.756191,65.210915,63.610369,64.608822,0.336903,63.666474,127.513917,157454.177818,157375.45073,0.9995,0.9995,0.6223,0.004269376508,0.003904368868,0.009130381451,0.003128078389,0.001964597922,0.009657216054,16.811
CUDA-Mixed-Graph,On,10000,kernel,63.291062,0.583292,62.747646,64.945152,63.118338,64.41088,0.320629,0.16551,63.777201,158000.192096,157921.192,0.9995,0.9995,0.6223,0.004269376508,0.003904368868,0.009130381451,0.003128078389,0.001964597922,0.009657216054,16.811
cuRobo,Off,10000,gpu_stream,239.77505137125652,13.318147222124697,,,238.96743500154116,257.50661880338157,,,239.80536320062433,41705.75688675994,41705.75688675994,1.0,1.0,1.0,8.968967593422615e-08,7.153347388276314e-08,1.9790084269678085e-07,2.415692838807306e-07,1.332800374925012e-07,3.839760639287592e-07,
cuRobo,On,10000,gpu_stream,61.28953056335449,1.2638637004974131,,,61.133466002502246,62.88593524841417,,,61.32142476587129,163160.0031536068,163143.68715329145,0.9999,0.9999,0.9999,3.787016033695406e-05,7.127743401824858e-08,1.9733646204266735e-07,6.233439584201685e-06,1.332800374925012e-07,3.8339735061730996e-07,
