target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
226,5.2416649809448616e-08,9.424321830774487e-08,1,1,1
227,1.2193699291719598e-07,1.2105760581248948e-07,1,1,1
228,5.6282368302111505e-08,1.1542389828584848e-07,1,1,1
229,4.5358557284912486e-08,9.424321830774487e-08,1,1,1
230,1.1915767462572606e-07,1.3657139822709094e-07,1,1,1
231,4.107742071671105e-07,6.989264130329237e-08,1,1,1
232,8.322764488567212e-08,9.884312124119404e-08,1,1,1
233,3.00235837306831e-08,1.1733186057227575e-07,1,1,1
234,7.398701435737646e-08,1.429269171748377e-07,1,1,1
235,1.8201382187354676e-08,8.688795409866128e-08,1,1,1
236,8.654534124265316e-08,1.6323404237781964e-07,1,1,1
237,3.5222441478213184e-07,1.3978528260658483e-07,1,1,1
238,5.35849129948685e-08,1.0323827311807144e-07,1,1,1
239,5.714286160141622e-08,1.3978528260658483e-07,1,1,1
240,5.7676660843086705e-08,4.712160915387242e-08,1,1,1
241,4.766055858364679e-08,7.884953353001449e-08,1,1,1
242,1.2222555799894347e-07,6.664001874625058e-08,1,1,1
243,2.1723733423214907e-08,7.598131170262078e-08,1,1,1
244,2.8937713446218924e-07,1.4136482746161737e-07,1,1,1
245,1.6300239550419456e-07,2.0102765505361653e-07,1,1,1
246,5.534229315709351e-08,1.6323404237781964e-07,1,1,1
247,8.668101614447362e-08,1.0950072449966577e-07,1,1,1
248,5.356708904607793e-08,1.7249341164216756e-07,1,1,1
249,4.857773911741226e-08,8.940696716308596e-08,1,1,1
250,5.271532444946491e-08,6.664001874625058e-08,1,1,1
251,7.526588689431657e-08,1.659323085197815e-07,1,1,1
252,2.820406406071038e-08,2.0102765505361653e-07,1,1,1
253,3.270992205617089e-08,1.3978528260658483e-07,1,1,1
254,2.3865215512523524e-08,1.3978528260658483e-07,1,1,1
255,2.5878193322088865e-08,1.2105760581248948e-07,1,1,1
256,8.957886087850264e-08,1.3978528260658483e-07,1,1,1
257,9.171667725721612e-08,7.884953353001449e-08,1,1,1
258,9.528171940927647e-08,9.185692672385244e-08,1,1,1
259,3.4778784675510066e-08,1.1542389828584848e-07,1,1,1
260,4.3976980771885867e-07,1.0323827311807144e-07,1,1,1
261,4.908632874024909e-08,9.424321830774487e-08,1,1,1
262,5.309521940308121e-08,1.4136482746161737e-07,1,1,1
263,8.691546576311663e-08,1.591008641128439e-07,1,1,1
264,2.570359222483409e-08,6.322027276634106e-08,1,1,1
265,2.2162937137915126e-08,6.664001874625058e-08,1,1,1
266,6.234277715237498e-08,1.2990531157078375e-07,1,1,1
267,5.517218334835676e-08,2.6236201616613655e-07,1,1,1
268,5.0035725520667626e-08,8.429369702178808e-08,1,1,1
269,4.236348383616913e-08,7.884953353001449e-08,1,1,1
270,6.343807517572699e-08,9.185692672385244e-08,1,1,1
271,1.271298594003031e-07,1.8128044993574107e-07,1,1,1
272,1.678588244462985e-08,1.8491854736195318e-07,1,1,1
273,3.245998228406825e-08,1.264405455326822e-07,1,1,1
274,2.520727255427628e-08,2.2401357260902137e-07,1,1,1
275,2.412566281691081e-07,1.3818768405162858e-07,1,1,1
276,8.33599438003015e-08,1.444721179430584e-07,1,1,1
277,2.493069893237531e-07,9.884312124119404e-08,1,1,1
278,1.0271597925078105e-07,1.8128044993574107e-07,1,1,1
279,8.835381219059454e-08,8.688795409866128e-08,1,1,1
280,5.153360917893845e-08,9.185692672385244e-08,1,1,1
281,9.668519036705032e-08,1.9428737179048833e-07,1,1,1
282,6.293267801632164e-08,1.1151007970493862e-07,1,1,1
283,4.40618972733241e-08,1.460009659995544e-07,1,1,1
284,7.060278613218474e-08,1.1151007970493862e-07,1,1,1
285,2.1826662676827407e-07,1.0745380149674388e-07,1,1,1
286,1.4900914792169026e-07,1.534168443230839e-07,1,1,1
287,3.3385743311355606e-08,9.884312124119404e-08,1,1,1
288,6.59092906468637e-08,1.3657139822709094e-07,1,1,1
289,3.366903412564815e-08,1.1151007970493862e-07,1,1,1
290,3.116417871878683e-08,2.731427964541825e-07,1,1,1
291,7.318180469553681e-08,1.0536712127723512e-07,1,1,1
292,3.803852420539462e-08,1.1920928955078133e-07,1,1,1
293,1.3850475680146384e-07,6.322027276634106e-08,1,1,1
294,1.2538768061600848e-07,6.664001874625058e-08,1,1,1
295,2.4975244830824425e-08,6.989264130329237e-08,1,1,1
296,8.288073581868522e-08,9.185692672385244e-08,1,1,1
297,1.957642238837053e-08,6.989264130329237e-08,1,1,1
298,4.800897793054807e-08,1.460009659995544e-07,1,1,1
299,7.332806979950337e-08,1.788139343261721e-07,1,1,1
300,2.9697162838472385e-08,1.6323404237781964e-07,1,1,1
301,7.534488085137221e-08,1.0323827311807144e-07,1,1,1
302,6.205967042169379e-08,6.322027276634106e-08,1,1,1
303,4.7556912246019606e-08,1.0106459234841571e-07,1,1,1
304,1.6986658791762566e-07,6.989264130329237e-08,1,1,1
305,2.2319554360092916e-07,1.576990670600291e-07,1,1,1
306,1.1730195872209037e-07,1.2287812309317777e-07,1,1,1
307,2.0674509973741655e-08,1.99920056238752e-07,1,1,1
308,2.678652545951085e-07,1.659323085197815e-07,1,1,1
309,1.1386125522714921e-07,9.185692672385244e-08,1,1,1
310,3.896494668412539e-08,6.664001874625058e-08,1,1,1
311,5.170276832961155e-08,1.2467205919833125e-07,1,1,1
312,2.3052694889341402e-08,1.8005141576520485e-07,1,1,1
313,7.148872319912605e-08,9.884312124119404e-08,1,1,1
314,9.786997766461263e-08,1.0745380149674388e-07,1,1,1
315,6.02470644772503e-08,7.300048299977716e-08,1,1,1
316,2.2988011156085532e-07,1.429269171748377e-07,1,1,1
317,6.685731910077031e-08,1.6858739404357632e-07,1,1,1
318,2.27280340571133e-07,2.0647654623614315e-07,1,1,1
319,4.907958784113553e-07,1.1542389828584848e-07,1,1,1
320,3.805334298689234e-08,9.65705618025044e-08,1,1,1
321,2.034314300435035e-08,1.8611544365878127e-07,1,1,1
322,4.496136494785813e-08,1.8611544365878127e-07,1,1,1
323,2.6284874325655776e-08,1.1733186057227575e-07,1,1,1
324,2.484626479356311e-07,1.5196262340524166e-07,1,1,1
325,4.891910662973836e-08,1.8848643661548996e-07,1,1,1
326,7.426187337323211e-08,9.65705618025044e-08,1,1,1
327,1.7862377751780746e-08,1.1733186057227575e-07,1,1,1
328,5.659722028477881e-08,5.16191365590357e-08,1,1,1
