target_id,pos_error_m,rot_error_rad,num_iterations,converged
305,5.346660737461e-03,1.508525871498e-03,15.000000,1
306,3.979747752338e-03,4.336631053956e-03,17.000000,1
307,4.989946652488e-03,9.486740368184e-04,17.000000,1
308,3.387669575089e-03,8.800339782656e-03,18.000000,1
309,8.900843029486e-03,1.950360705736e-03,17.000000,1
310,1.293226856177e-03,1.129148572428e-03,14.000000,1
311,4.094698782531e-04,1.003484844506e-03,17.000000,1
312,9.507991928531e-04,7.904624087487e-04,18.000000,1
313,5.567560163831e-03,1.597362125884e-03,15.000000,1
314,7.335599586872e-03,1.273801377232e-03,16.000000,1
315,7.062911112732e-03,2.066615796046e-03,16.000000,1
316,6.263377614289e-03,4.326626515055e-03,20.000000,1
317,7.193918968932e-04,1.850536101192e-04,14.000000,1
318,2.985256008691e-03,9.858820973116e-04,14.000000,1
319,8.494773155338e-03,5.782700073747e-03,15.000000,1
320,1.823601939549e-04,1.031674346629e-03,16.000000,1
321,9.508456495936e-04,0.000000000000e+00,17.000000,1
322,8.295531869552e-03,2.299605775952e-03,15.000000,1
323,6.823527504523e-03,2.342255030473e-03,22.000000,1
324,2.181281315167e-03,4.835867647058e-04,15.000000,1
325,5.124785083987e-03,6.627228791014e-03,16.000000,1
326,3.382589379793e-03,0.000000000000e+00,16.000000,1
327,8.113783542581e-04,3.144810662012e-04,18.000000,1
328,2.543870571369e-03,1.222920303928e-02,15.000000,1
329,6.615401916060e-03,3.181994428898e-03,16.000000,1
330,1.571348305492e-03,7.198171461670e-04,17.000000,1
331,4.246716100934e-03,9.468480934236e-03,15.000000,1
332,7.078793242145e-04,8.439687842981e-04,18.000000,1
333,1.568339504690e-03,5.643161633318e-04,15.000000,1
334,3.395673787988e-04,2.142476430603e-04,24.000000,1
335,4.543771976469e-04,8.673583118558e-04,35.000000,1
336,7.508330437374e-03,6.767396010517e-03,14.000000,1
337,3.995501053198e-03,4.052095090971e-03,14.000000,1
338,7.371869039577e-03,4.875210519099e-03,14.000000,1
339,9.303113296682e-04,5.341771042646e-04,16.000000,1
340,6.835028407652e-04,0.000000000000e+00,19.000000,1
341,1.530503715703e-03,1.777372788010e-03,15.000000,1
342,4.170654688382e-04,4.080271576634e-04,16.000000,1
343,1.045814640663e-03,5.673356450749e-04,16.000000,1
344,1.180744204000e-03,1.378837463717e-03,16.000000,1
345,5.898781770858e-04,2.812254082045e-04,17.000000,1
346,4.491054829108e-04,5.556230304359e-04,18.000000,1
347,1.907080230045e-03,1.837330044307e-03,23.000000,1
348,1.481225770648e-03,8.516634895190e-04,16.000000,1
349,6.400981682145e-04,3.299337974980e-04,23.000000,1
350,3.057425621159e-03,2.297671139113e-02,21.000000,1
351,3.510907982961e-03,1.277426899781e-03,28.000000,1
352,1.360424632319e-03,3.224253786346e-04,17.000000,1
353,8.419176045801e-03,6.156883688619e-03,14.000000,1
354,5.128048063607e-04,6.466062794058e-04,19.000000,1
355,4.919400713404e-04,1.167965696299e-03,21.000000,1
356,1.135235184259e-03,1.047362093165e-03,15.000000,1
357,6.392089095721e-03,1.494223319319e-02,14.000000,1
358,8.007859502672e-04,1.054097385834e-03,20.000000,1
359,9.662622485148e-04,6.309460539179e-04,14.000000,1
360,9.131325312099e-03,5.161786066252e-03,13.000000,1
361,6.302419856518e-04,1.530048166313e-03,19.000000,1
362,1.098897674341e-03,1.913610272974e-03,14.000000,1
363,9.945895710911e-03,2.097727938618e-03,21.000000,1
364,3.083897275390e-04,4.050744113372e-05,18.000000,1
365,9.082350968689e-03,1.621246260845e-02,22.000000,1
366,4.624181546082e-03,5.449107780692e-03,18.000000,1
367,8.467370368823e-03,1.203100197044e-02,13.000000,1
368,6.155732910827e-03,1.152170976512e-02,19.000000,1
369,1.730648482831e-03,5.235565895196e-04,17.000000,1
370,3.432537852844e-03,1.107348535349e-02,29.000000,1
371,4.984159081363e-03,5.146943824974e-03,17.000000,1
372,1.919159260851e-03,1.928219973928e-03,14.000000,1
373,7.693095673075e-04,7.426425105636e-04,20.000000,1
374,8.036875646834e-03,1.043321653696e-02,16.000000,1
375,7.571701442099e-04,7.233465462546e-04,14.000000,1
376,2.597874443678e-03,1.685767957308e-02,20.000000,1
377,2.816946414365e-03,1.841988252112e-03,15.000000,1
378,8.893289152070e-04,1.778786503783e-03,18.000000,1
379,6.027254594851e-03,8.566244841600e-03,15.000000,1
380,1.970554381752e-03,6.574109666974e-04,14.000000,1
381,8.113964716549e-03,1.420423274938e-02,15.000000,1
382,2.776246271855e-03,4.247133554302e-04,23.000000,1
383,8.514039653747e-03,5.114821257900e-03,21.000000,1
