target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
153,1.47541694697157e-07,1.429269171748377e-07,1,1,1
154,6.03368152136616e-08,1.1542389828584848e-07,1,1,1
155,3.9375323614790735e-08,6.664001874625058e-08,1,1,1
156,6.956348489619209e-08,1.8005141576520485e-07,1,1,1
157,4.885668437711277e-08,1.2990531157078375e-07,1,1,1
158,2.6955637176969515e-08,2.149076029934881e-07,1,1,1
159,1.0297774231376266e-08,9.185692672385244e-08,1,1,1
160,6.197029483566704e-08,2.2500259981366294e-07,1,1,1
161,9.591728994970182e-08,7.884953353001449e-08,1,1,1
162,2.435413008245484e-08,2.384185791015631e-07,1,1,1
163,1.2807214592517042e-07,5.960464477539064e-08,1,1,1
164,1.0830234304932667e-07,1.9314112360500902e-07,1,1,1
165,2.4007206374711336e-08,9.884312124119404e-08,1,1,1
166,5.411614017014148e-08,7.300048299977716e-08,1,1,1
167,7.53947564774274e-08,6.664001874625058e-08,1,1,1
168,5.142449520750757e-08,1.0745380149674388e-07,1,1,1
169,3.528478114953891e-08,1.3160349229466696e-07,1,1,1
170,9.740231240053408e-08,8.161702118890975e-08,1,1,1
171,4.964418748100228e-08,2.1073424255447017e-08,1,1,1
172,4.16673090121716e-08,7.598131170262078e-08,1,1,1
173,6.81799699637689e-08,7.884953353001449e-08,1,1,1
174,1.5239812804760387e-08,8.429369702178808e-08,1,1,1
175,3.0205773881848016e-08,1.3657139822709094e-07,1,1,1
176,9.341366029590685e-08,7.884953353001449e-08,1,1,1
177,4.6753822930946846e-08,8.688795409866128e-08,1,1,1
178,3.980768962068162e-08,1.7756782901008428e-07,1,1,1
179,2.681722151159682e-08,1.7249341164216756e-07,1,1,1
180,7.76573992119887e-08,1.6726511955740805e-07,1,1,1
181,1.0811743454841753e-07,8.940696716308596e-08,1,1,1
182,1.0577543731207734e-07,8.688795409866128e-08,1,1,1
183,9.169075553152353e-08,2.3084779657169732e-07,1,1,1
184,6.650419968892764e-08,1.9198803196437874e-07,1,1,1
185,2.1426594976975233e-08,1.429269171748377e-07,1,1,1
186,2.7340655463203808e-08,1.1542389828584848e-07,1,1,1
