target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
214,1.1919965154371406e-07,1.6858739404357632e-07,1,1,1
215,8.278015624550013e-08,1.7120130796843874e-07,1,1,1
216,8.103167782798954e-08,1.6726511955740805e-07,1,1,1
217,4.388391552155351e-08,7.598131170262078e-08,1,1,1
218,7.246893236791248e-08,8.161702118890975e-08,1,1,1
219,3.7914810212505285e-08,1.264405455326822e-07,1,1,1
220,1.8934472345422346e-07,2.889442358861176e-07,1,1,1
221,5.275261414476196e-08,9.65705618025044e-08,1,1,1
222,1.3082873156084658e-07,1.9768624248238833e-07,1,1,1
223,1.7054673203725904e-08,1.429269171748377e-07,1,1,1
224,7.905273796084453e-08,1.1733186057227575e-07,1,1,1
225,5.754848306232084e-08,1.2990531157078375e-07,1,1,1
226,8.949084211270602e-08,1.1348386266624797e-07,1,1,1
227,1.495292953989448e-07,1.3978528260658483e-07,1,1,1
228,9.844481304184812e-08,1.1151007970493862e-07,1,1,1
229,9.32944309763624e-08,1.4136482746161737e-07,1,1,1
230,7.810222701554064e-08,1.460009659995544e-07,1,1,1
231,1.0459833010540458e-07,8.429369702178808e-08,1,1,1
232,7.163042755175271e-08,6.989264130329237e-08,1,1,1
233,9.938415489184524e-08,1.6858739404357632e-07,1,1,1
234,1.9229784953153012e-07,1.698993779866605e-07,1,1,1
235,1.3339535496394657e-07,9.424321830774487e-08,1,1,1
236,1.3075231695060974e-07,1.264405455326822e-07,1,1,1
237,1.8968734562948779e-07,8.429369702178808e-08,1,1,1
238,1.1976598660318883e-07,5.575503985246929e-08,1,1,1
239,1.2604372723111712e-07,2.615143176136061e-07,1,1,1
240,1.7960765642019147e-07,1.5485740967710726e-07,1,1,1
241,1.70986825044283e-07,1.460009659995544e-07,1,1,1
242,1.477530380753982e-07,1.2818463544611084e-07,1,1,1
243,1.6472714887063303e-07,1.429269171748377e-07,1,1,1
244,2.827628317795875e-07,1.332800374925012e-07,1,1,1
245,1.1658362487880443e-07,1.8966081829902343e-07,1,1,1
246,1.1937516717765062e-07,1.2105760581248948e-07,1,1,1
247,2.096770540262471e-07,7.300048299977716e-08,1,1,1
248,2.2062091969322084e-07,1.429269171748377e-07,1,1,1
249,1.5036493623237e-07,1.2287812309317777e-07,1,1,1
250,1.622691774233802e-07,1.6323404237781964e-07,1,1,1
251,1.734985844251865e-07,6.322027276634106e-08,1,1,1
