target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
40,1.1869054426774255e-07,2.9802322387695312e-08,1,1,1
41,1.5161541836638715e-07,1.8005141576520485e-07,1,1,1
42,9.441133011533501e-08,8.429369702178808e-08,1,1,1
43,1.0822882502003869e-07,4.2146848510894035e-08,1,1,1
44,1.3835181875863396e-07,1.332800374925012e-07,1,1,1
45,8.131537795605525e-08,7.300048299977716e-08,1,1,1
46,7.345594366741085e-08,2.0102765505361653e-07,1,1,1
47,1.115943698155448e-07,6.989264130329237e-08,1,1,1
48,6.640128240461418e-08,1.1542389828584848e-07,1,1,1
49,1.725972149667523e-08,1.1542389828584848e-07,1,1,1
50,2.834639288745914e-07,1.4136482746161737e-07,1,1,1
51,8.35002086776016e-09,1.460009659995544e-07,1,1,1
52,8.556902851456551e-08,7.598131170262078e-08,1,1,1
53,2.9081059840309577e-08,2.439425221643588e-07,1,1,1
54,9.432667977694467e-08,1.8005141576520485e-07,1,1,1
55,9.222872869057517e-08,1.2287812309317777e-07,1,1,1
56,9.977038703786415e-08,2.1073424255447017e-08,1,1,1
57,8.047933849241114e-08,1.6186804311275822e-07,1,1,1
58,6.350851000677667e-08,1.429269171748377e-07,1,1,1
59,3.553823090465259e-08,1.460009659995544e-07,1,1,1
60,6.341754594752665e-08,1.0106459234841571e-07,1,1,1
61,6.257336490585503e-08,1.698993779866605e-07,1,1,1
62,3.7119976898082786e-08,1.2990531157078375e-07,1,1,1
63,1.085687838687384e-07,1.1920928955078133e-07,1,1,1
64,6.660805105955426e-08,1.0950072449966577e-07,1,1,1
65,3.33896364494799e-08,1.2105760581248948e-07,1,1,1
66,2.620789029507217e-07,1.698993779866605e-07,1,1,1
67,3.524799930826987e-08,1.2287812309317777e-07,1,1,1
68,4.7920911094252556e-08,1.5485740967710726e-07,1,1,1
69,7.442310159792766e-08,1.2467205919833125e-07,1,1,1
70,1.2742210925443397e-07,5.960464477539064e-08,1,1,1
71,4.1199525881618924e-07,1.3978528260658483e-07,1,1,1
72,4.629134760459561e-08,1.3657139822709094e-07,1,1,1
73,8.626676840679115e-08,6.322027276634106e-08,1,1,1
74,3.3294663668958395e-08,1.9542689693874154e-07,1,1,1
75,2.768528831517361e-08,6.322027276634106e-08,1,1,1
76,4.0536428946593866e-08,1.0106459234841571e-07,1,1,1
77,5.7493842367796537e-08,9.424321830774487e-08,1,1,1
78,2.8274341713428507e-08,8.940696716308596e-08,1,1,1
79,6.801506739458888e-08,2.2891598188485577e-07,1,1,1
80,6.643972251616176e-08,7.300048299977716e-08,1,1,1
81,8.2840019219339e-08,1.6458870496134868e-07,1,1,1
82,8.613690349587822e-08,1.2990531157078375e-07,1,1,1
83,8.482064238442937e-08,7.884953353001449e-08,1,1,1
84,8.5471023303221e-08,2.5023304855446086e-07,1,1,1
85,5.8138174446075995e-08,1.332800374925012e-07,1,1,1
86,5.7629257175765946e-08,6.664001874625058e-08,1,1,1
87,1.0265926854857644e-07,1.5628469708117136e-07,1,1,1
88,3.572246860334714e-08,1.1733186057227575e-07,1,1,1
89,6.894356485518985e-08,1.0536712127723512e-07,1,1,1
90,7.951491274688694e-08,9.185692672385244e-08,1,1,1
91,8.786112579592146e-08,1.1542389828584848e-07,1,1,1
92,3.46804081208434e-08,1.2467205919833125e-07,1,1,1
93,1.2625448506329586e-07,6.664001874625058e-08,1,1,1
94,3.864570669682198e-08,2.2891598188485577e-07,1,1,1
95,1.1049667081555619e-07,6.664001874625058e-08,1,1,1
96,7.123682400915412e-08,1.3978528260658483e-07,1,1,1
97,3.356514841716012e-08,2.0967792390987746e-07,1,1,1
98,7.019066445579701e-08,7.300048299977716e-08,1,1,1
99,3.634905424383719e-08,6.322027276634106e-08,1,1,1
