target_id,pos_error_m,rot_error_rad,num_iterations,converged
341,5.952135950526e-04,4.507308611281e-04,17.000000,1
342,2.478283355087e-03,2.020468397533e-03,19.000000,1
343,2.839806321615e-03,1.472867002111e-03,12.000000,1
344,5.034964378729e-04,5.857556064823e-04,22.000000,1
345,8.443590654889e-04,3.738194394495e-04,15.000000,1
346,2.569146712396e-03,8.447782670175e-04,18.000000,1
347,8.776810355381e-04,4.514190136953e-04,15.000000,1
348,5.625483663336e-03,9.636891538159e-04,15.000000,1
349,6.262947393609e-03,1.044376461077e-02,15.000000,1
350,6.512661786742e-03,2.425646259894e-03,28.000000,1
351,5.900303357730e-03,1.338930542403e-03,22.000000,1
352,1.093711258483e-03,3.351840584019e-04,15.000000,1
353,3.087227524491e-04,3.353190920191e-04,16.000000,1
354,4.984009798079e-03,8.296007331055e-03,18.000000,1
355,2.726043068145e-03,2.886647259562e-03,18.000000,1
356,4.248104177835e-03,1.304494726324e-03,18.000000,1
357,6.869403277641e-04,9.152353861830e-04,17.000000,1
358,3.946776546952e-03,1.620295569964e-03,19.000000,1
359,7.729213465724e-04,3.185458412658e-04,19.000000,1
360,1.849159242858e-03,2.132716776961e-03,14.000000,1
361,8.607728887427e-03,4.855263300955e-03,24.000000,1
362,8.833252929654e-03,5.974883315702e-03,25.000000,1
363,8.456999694677e-03,1.686947927267e-03,25.000000,1
364,1.769419755492e-03,1.595047304769e-03,18.000000,1
365,9.476093323258e-04,1.396776374390e-03,28.000000,1
366,4.920408883024e-03,1.705548491199e-03,18.000000,1
367,9.559327441464e-03,2.169040387713e-03,15.000000,1
368,6.848254950451e-03,1.540185034918e-03,16.000000,1
369,5.892318286497e-03,3.185311069422e-03,15.000000,1
370,5.445434120671e-03,2.258197742071e-03,14.000000,1
371,6.552181209379e-03,2.592065784292e-03,18.000000,1
372,2.360096790429e-04,0.000000000000e+00,15.000000,1
373,4.434835237623e-03,2.919529020303e-03,17.000000,1
374,1.514775160828e-03,1.585241642448e-04,22.000000,1
375,2.190238231736e-03,9.825769023960e-04,14.000000,1
376,3.624476095845e-03,2.160458844730e-03,15.000000,1
377,3.786533117238e-03,5.346046145567e-03,17.000000,1
378,7.028534537759e-03,2.109543311713e-03,23.000000,1
379,3.738292508390e-03,7.804610765511e-04,15.000000,1
380,5.687877392999e-03,2.630139324610e-03,20.000000,1
381,9.129053348618e-03,3.499593981689e-03,13.000000,1
382,8.659545855871e-03,2.427290682627e-03,15.000000,1
383,5.031204200715e-03,2.358250662463e-03,17.000000,1
384,4.932290286182e-03,4.425957057258e-03,17.000000,1
385,9.089800586779e-03,1.802224142853e-03,18.000000,1
386,1.728619625825e-03,2.242247003058e-03,16.000000,1
387,5.404104833464e-03,2.963852591472e-03,16.000000,1
388,4.347680308112e-04,6.978458786451e-04,24.000000,1
389,5.945975403574e-03,2.923049707775e-03,14.000000,1
390,8.021320475330e-03,2.214041080939e-03,18.000000,1
391,6.687437811574e-03,7.360031166635e-03,16.000000,1
392,1.949280767419e-03,1.108875854912e-03,16.000000,1
393,1.938157739724e-03,8.698596405873e-03,17.000000,1
394,5.969720575075e-04,5.937276182539e-04,17.000000,1
395,3.873738791733e-03,7.429967453776e-03,13.000000,1
396,5.255867036448e-03,6.423677065857e-04,17.000000,1
397,9.544030972990e-03,7.561856930402e-03,16.000000,1
398,9.426126525546e-03,2.624387334021e-03,15.000000,1
399,8.196959403266e-03,6.765096067960e-03,17.000000,1
400,4.325388546648e-03,4.412527981167e-03,16.000000,1
401,2.406293893592e-03,5.155362283158e-04,16.000000,1
402,9.142449856554e-03,1.733711642107e-03,16.000000,1
403,1.699143391376e-03,4.174156402662e-03,20.000000,1
