target_id,cuda_success,curobo_success,cuda_pos_err_mm,curobo_pos_err_mm,cuda_rot_err_deg,curobo_rot_err_deg,cuda_near_limit,curobo_near_limit,winner_quality,failure_type
694,1,1,0.737836456715,4.794704045346373e-05,0.00650396373282,1.5696437506434578e-05,0,0,cuRobo,both_success
695,1,1,0.0347756374063,3.429150245121766e-05,0.00885099499007,6.6133022267264155e-06,0,0,cuRobo,both_success
696,1,0,0.0531066051628,7.307270584616729,0.10222374207,0.7334674796186703,0,0,CUDA,cuda_success_curobo_fail
697,1,1,0.0289128981899,0.0001025071913886186,0.00205138439697,9.809112393710968e-06,0,0,cuRobo,both_success
698,1,1,4.07259818624,0.15846910986400867,0.0301031695799,0.008992300161820555,0,0,cuRobo,both_success
699,1,0,0.232921346827,5.795814392459204,0.00118747295676,0.44156171142410844,0,0,CUDA,cuda_success_curobo_fail
700,1,1,0.0612131385836,8.278855343013243e-05,0.000337121068131,1.0799477313527678e-05,0,0,cuRobo,both_success
701,0,0,129.51334785,33.93208621677604,0.0854217497925,6.198682128192241,0,0,cuRobo,both_fail
702,1,0,0.189122242877,54.81915475434219,0.00336138593858,8.896094713810449,0,0,CUDA,cuda_success_curobo_fail
703,1,1,0.0725114785854,0.00012297780422234546,0.00360511715255,9.035490975690213e-06,0,0,cuRobo,both_success
704,1,1,0.0640813002597,0.008455130150013127,0.00138467937164,0.0007265347861076432,0,0,cuRobo,both_success
705,1,1,0.354081254033,9.84830052971914e-05,0.00152312528012,2.091309789151873e-06,0,0,cuRobo,both_success
706,1,1,0.920471095186,2.7463711429695382e-05,0.0716369625927,8.009106731400786e-06,0,0,cuRobo,both_success
707,1,1,0.253997333711,2.1978380719023865e-05,0.0605882749342,8.872676000826597e-06,0,0,cuRobo,both_success
708,1,1,0.0367529322908,1.8816406510273357e-05,0.0895188148349,4.00455336570039e-06,0,0,cuRobo,both_success
709,1,1,0.173859107365,0.0005121303614547465,0.0659232630498,1.5462498375200197e-05,0,0,cuRobo,both_success
710,1,1,0.290754536598,8.359749083691897e-05,0.00739987310112,1.0526028440638429e-05,0,0,cuRobo,both_success
711,0,0,117.101636262,123.66283171904985,0.0198417722819,4.049474860039683,0,0,CUDA,both_fail
712,1,1,0.030693675663,0.00010777787488275173,0.282925529766,9.883144480908979e-06,0,0,cuRobo,both_success
713,1,1,0.215248909352,4.068136489587722,0.0451705631928,0.31910792972110824,0,0,CUDA,both_success
714,1,0,1.11862026079,20.058656817023408,0.0532552990144,3.404253227800971,0,0,CUDA,cuda_success_curobo_fail
