target_id,python_best_seed_id,cuda_best_seed_id,python_pos_err_mm,cuda_pos_err_mm,python_rot_err_deg,cuda_rot_err_deg,python_success_strict,cuda_success_strict,python_near_limit,cuda_near_limit
47,9,9,2.008264631112084,2.00826463111,0.08664401518660063,0.0866440151866,1,1,0,0
48,10,10,0.3024653353655635,0.302465335364,0.04136021656979718,0.0413602165932,1,1,0,0
49,11,11,0.1399752684007573,0.13997526828,0.005450146236436522,0.00545014623539,1,1,0,0
50,2,2,3.1516915557574485,3.15169155668,0.3949033287690416,0.394903328969,1,1,0,0
51,12,12,0.23475062976438993,0.234750629764,0.0014756194229890221,0.00147561942297,1,1,0,0
52,0,0,15.226355963150521,15.2263559631,0.06668855954766445,0.0666885595445,0,0,1,1
53,12,12,0.020212958564287897,0.0202129585645,0.2725681732548027,0.272568173255,1,1,0,0
54,10,10,0.02758546586190547,0.027585465862,0.0014900883743690378,0.00149008837436,1,1,0,0
55,4,4,0.06678634219573755,0.0667863421969,0.5681095015129399,0.568109501518,1,1,0,0
56,9,9,0.9162337815051051,0.916233781505,0.22618924358370882,0.226189243584,1,1,0,0
57,6,6,0.05170758304656008,0.0517075830465,0.004459067321794388,0.00445906732178,1,1,0,0
58,0,0,1.0108498873501026,1.01084988735,2.409484140482933e-05,2.40948413923e-05,1,1,0,0
59,13,13,0.24024501892996836,0.24024501893,0.026601830219515076,0.0266018302195,1,1,0,0
60,9,9,0.14337088324940594,0.143370883249,0.06506891804899728,0.065068918049,1,1,0,0
61,4,4,0.022184464740191867,0.0221844647403,0.0003341581891133964,0.000334158189114,1,1,0,0
62,5,5,0.04766634634207816,0.0476663463417,0.005012375550361003,0.00501237555036,1,1,0,0
63,15,15,0.03943600162233391,0.0394360016223,0.020213782779212992,0.0202137827792,1,1,0,0
64,2,2,0.4444870596254051,0.444487059625,0.8037775415282067,0.803777541528,1,1,0,0
65,15,15,28.471586836939437,28.4715868366,4.068477015978179,4.06847701594,0,0,0,0
66,9,9,0.015148932490295097,0.0151489324903,0.5543841945163638,0.554384194518,1,1,0,0
67,6,6,1.3032539333711208,1.30325393338,0.07732746738693184,0.0773274673872,1,1,0,0
68,3,3,0.0678706180923266,0.067870618094,0.5013853616671464,0.501385361693,1,1,0,0
69,4,4,0.049954383901672346,0.0499543839022,0.13206317319573133,0.132063173196,1,1,0,0
70,3,3,1.8878657131930652,1.88786571319,0.03883894831272586,0.0388389483128,1,1,0,0
71,15,15,0.04781018999357644,0.0478101899939,0.040207965609336954,0.0402079656093,1,1,0,0
72,14,14,0.23600113955170243,0.236001139552,0.03213611131111761,0.0321361113111,1,1,0,0
73,12,12,3.6389158447196754,3.63891584472,0.2953397772237481,0.295339777224,1,1,0,0
74,6,6,0.27690561365749516,0.276905613657,0.00014576181257706908,0.000145761812609,1,1,0,0
75,9,9,0.15724908309645208,0.157249083097,0.19965605336439443,0.199656053364,1,1,0,0
76,8,8,0.4849421026847662,0.484942102685,0.03220813441712291,0.0322081344172,1,1,0,0
77,6,6,0.6870245544780441,0.68702455449,0.005136262785664365,0.00513626278539,1,1,0,0
78,10,10,0.05420737194662005,0.0542073738784,0.14736557212004342,0.147365572539,1,1,0,0
79,15,15,0.3278403871082934,0.327840387108,0.01059224452383763,0.0105922445238,1,1,0,0
80,14,14,0.20642856936605009,0.206428569366,0.011712660774891009,0.0117126607749,1,1,0,0
81,2,2,0.05517688606690663,0.0551768860712,0.004332310776211202,0.00433231077645,1,1,0,0
82,8,8,0.062442387622848095,0.0624423876231,0.01088644269989372,0.0108864426999,1,1,0,0
83,4,4,0.03728817539211559,0.0372881753922,0.1547638172461689,0.154763817246,1,1,0,0
84,11,11,0.40738353138562894,0.407383531386,0.23787166645895247,0.237871666459,1,1,0,0
85,14,14,3.579589933422671,3.57959009609,0.024428060485974654,0.0244280390342,1,1,0,0
86,0,0,0.05088849592528308,0.0508884959,0.02086194812078421,0.0208619481172,1,1,0,0
87,13,13,0.09409799632402643,0.0940979963235,0.17361164895483894,0.173611648955,1,1,0,0
88,13,13,3.5888236694451527,3.58882366945,0.0637558177562,0.0637558177562,1,1,0,0
89,10,10,1.3067967718766598,1.30679677188,0.13259642526094373,0.132596425261,1,1,0,0
90,13,13,0.004400317244409614,0.00440031724424,0.17704924791273127,0.177049247913,1,1,0,0
91,2,2,0.09130335429149189,0.0913033542915,0.01671066649227417,0.0167106664923,1,1,0,0
92,3,3,1.1900442036356926,1.19004420363,0.01690896578016785,0.0169089657802,1,1,0,0
93,7,7,4.353369556979712,4.35336955696,0.32508228350343427,0.325082283503,1,1,0,0
94,11,11,0.08300658414203077,0.083006584142,0.0012817492416646531,0.00128174924166,1,1,0,0
95,3,3,0.05253869351792476,0.0525382244557,0.08310996146136966,0.0831096955411,1,1,0,0
96,6,6,0.8503750350544582,0.850375035056,0.006372135193591621,0.0063721351936,1,1,0,0
97,5,5,0.235525548513256,0.235525548513,0.02777400174767614,0.0277740017477,1,1,0,0
98,6,6,1.334908460220776,1.33490846013,0.09159790076937632,0.0915979007646,1,1,0,0
99,15,15,0.05439446102266341,0.0543944610226,0.017943962567149325,0.0179439625671,1,1,0,0
