sample_id,row,col,value
13,1,1,-0.97739962829618232
13,1,2,-0.45292639573462457
13,1,3,0.096199857364280411
13,1,4,0.076181112004426746
13,1,5,0
13,2,0,0
13,2,1,0.27006004547549789
13,2,2,-0.013920114227988268
13,2,3,0.059216784104598325
13,2,4,0.049069395936930063
13,2,5,0
13,3,0,0
13,3,1,-0.96744007881112681
13,3,2,-0.96744007881112681
13,3,3,-0.96744007881112681
13,3,4,-0.13476455254812192
13,3,5,0.97354316070229929
13,4,0,0
13,4,1,0.25310016576430933
13,4,2,0.25310016576430933
13,4,3,0.25310016576430933
13,4,4,-0.51511870399564241
13,4,5,-0.22792149626252708
13,5,0,1
13,5,1,-2.0510342851533115e-10
13,5,2,-2.0510342851533115e-10
13,5,3,-2.0510342851533115e-10
13,5,4,0.84645805340273916
13,5,5,0.016294348444415109
14,0,0,0.71155835883867724
14,0,1,0.59341123512472083
14,0,2,0.25166171600416909
14,0,3,-0.079274753381868165
14,0,4,0.087857500372909833
14,0,5,0
14,1,0,-0.36893774504424121
14,1,1,0.58810406488935041
14,1,2,0.24941098079893406
14,1,3,-0.078565760000709126
14,1,4,0.027066155872077072
14,1,5,-0
14,2,0,0
14,2,1,-0.76293019176518617
14,2,2,-0.38472619790711804
14,2,3,-0.05240165664549519
14,2,4,0.0070230217522498778
14,2,5,0
14,3,0,0
14,3,1,0.70392347364327201
14,3,2,0.70392347364327201
14,3,3,0.70392347364327201
14,3,4,-0.061012955688963401
14,3,5,0.29707999108293454
14,4,0,0
14,4,1,-0.71027582195509775
14,4,2,-0.71027582195509775
14,4,3,-0.71027582195509775
14,4,4,-0.060467286619500342
14,4,5,-0.95402658159991338
14,5,0,1
14,5,1,-2.0510342851533113e-10
14,5,2,-2.0510342851533113e-10
14,5,3,-2.0510342851533113e-10
14,5,4,0.99630373204508849
14,5,5,-0.039708443673195495
15,0,0,0.15503036507724963
15,0,1,-0.11209539458595161
15,0,2,-0.34980953491916505
15,0,3,-0.0164771740001909
15,0,4,0.058912509056855793
15,0,5,0
15,1,0,-0.097780785582973095
15,1,1,0.11124213766735329
15,1,2,0.34714682618221426
15,1,3,0.016351751739362836
15,1,4,0.069705924558092117
15,1,5,0
15,2,0,0
15,2,1,0.039798309049611486
15,2,2,-0.47243695469386376
15,2,3,-0.14534148562018318
15,2,4,0.013085883926103272
15,2,5,-0
15,3,0,0
15,3,1,-0.70440015209925333
15,3,2,-0.70440015209925333
15,3,3,-0.70440015209925333
15,3,4,-0.62018460395667219
15,3,5,-0.45507765485923768
15,4,0,0
15,4,1,-0.70980308940053838
15,4,2,-0.70980308940053838
15,4,3,-0.70980308940053838
15,4,4,0.61546383241372737
15,4,5,0.22276352859582713
15,5,0,1
15,5,1,-2.0510342851533115e-10
15,5,2,-2.0510342851533115e-10
15,5,3,-2.0510342851533115e-10
15,5,4,-0.48639009858930399
15,5,5,0.86213730830729773
16,0,0,-0.34392992720607429
16,0,1,-0.05007490713102352
16,0,2,-0.28336698262959492
16,0,3,0.10573096626348304
16,0,4,-0.021843444028968068
16,0,5,0
16,1,0,-0.83933246308809373
16,1,1,0.0083241861561444731
16,1,2,0.04710541866743817
16,1,3,-0.017576152959974195
16,1,4,-0.081665497648300597
16,1,5,0
16,2,0,0
16,2,1,0.8843694946430658
16,2,2,0.31990973211390733
16,2,3,-0.094754433758919995
16,2,4,0.036802859220565302
16,2,5,-0
16,3,0,0
16,3,1,0.16398434755486202
16,3,2,0.16398434755486199
16,3,3,0.16398434755486199
16,3,4,0.96309704019170095
16,3,5,-0.12773404169695754
16,4,0,0
16,4,1,0.98646294089388187
16,4,2,0.98646294089388176
16,4,3,0.98646294089388176
16,4,4,-0.16010012478063421
16,4,5,0.4356918883699899
16,5,0,1
16,5,1,-2.0510342851533115e-10
16,5,2,-2.0510342851533113e-10
16,5,3,-2.0510342851533113e-10
16,5,4,0.2163609050156948
16,5,5,0.89098630348639596
17,0,0,0.28096568427412444
17,0,1,0.23568912636446052
17,0,2,0.52058442156728413
17,0,3,0.063963997564907421
17,0,4,0.067844737937357999
17,0,5,0
17,1,0,-0.61797596539269439
17,1,1,0.17674666954039364
17,1,2,0.39039375327757037
17,1,3,0.047967522774793075
17,1,4,-0.062158837394359505
17,1,5,0
17,2,0,0
17,2,1,0.6629681815542886
17,2,2,0.16523974718279744
17,2,3,0.12317604492599793
17,2,4,0.0058489715329102443
17,2,5,0
17,3,0,0
17,3,1,-0.5999561691999481
17,3,2,-0.5999561691999481
17,3,3,-0.5999561691999481
17,3,4,-0.26048173423035592
17,3,5,-0.6250473042315553
17,4,0,0
17,4,1,0.80003287122400368
